Reviewer,Review,Rating,Expense,Type
Kaneez Abedi,"On Wednesday night i ordered this veg tawa pulao , cost was 250 and it turned out to be the worst. I went to take the home delivery by myself. Pulao was so spicy and the taste was very bad. I don't know what went wrong in making but this wasn't accepted.",2 stars,moderate,Mughlai restaurant
Priyanka R,Best for non-vegetarians. Had veg biryani which was ok ok and not good for Chinese ordered veg manchurian which was so hard couldn’t eat.,3 stars,moderate,Mughlai restaurant
Pramod Shende,"Was planning to go somewhere else but ended up dining here! Boy, it was a great decision. The ambience is great, personnel attending is quite talented and knows how to manage multiple tables. Order was quick and we were made to wait for not …",5 stars,moderate,Mughlai restaurant
GANESH JADHAV,"Nice shamiynan and look created in hotel. Nice dishes too. We tried mutton masala, kabab. This time we tries mutton sikh kabab. Rumali roti and mutton sukha we tried.",5 stars,moderate,Mughlai restaurant
Kingshuk Mazumder,It definitely goes by its reputation at the Best Meat Restaurant of Navi Mumbai. I was recommended by a friend and took my friends here for my Birthday and it was worth much more than what we paid. …,5 stars,moderate,Mughlai restaurant
Rahul Sonkar,Visited rhis amazing mughlai cuisine restaurent with friends and it was totally amazing. Probably the best mughlai food place in navi mumbai. Must visit place. The ambiance is plus point for them as it is totally amazing 😍. …,5 stars,moderate,Mughlai restaurant
Atul Salvi,"Food we order was mughlai Mutton Kepsa
It cost about 1950 rs taste was great, good quantity, 9-10 person can have one full Kepsa rice …",4 stars,moderate,Mughlai restaurant
Shailesh Warang,Overall it is a average eatery to taste Mughlai cuisine. We had ordered mutton dum biryani which ok..but the started mutton Bara was a disaster.  Unwarranted meat prices covered with spices..it was a the big turn off.. they have created …,3 stars,moderate,Mughlai restaurant
P H,Has table seating for 10-11 ppl in booth type seating. Food is quite tasty and staff is prompt. Winter special paya soup was a revelation while chapli kabab was average. Persian thaal had decent sized portions though it was slight pricey imo,4 stars,moderate,Mughlai restaurant
Khalid Baig,"Today 14th Oct , I ordered chic. fried rice and chic. crispy and one malpua ,
food was hopeless especially chicken fried rice I couldn't understand whether it was chicken fried rice or egg fried rice or what with lots of oil in it . …",1 star,moderate,Mughlai restaurant
Gursharan Kaur Nanda,"I am love with their Chicken Tikka Masala  🤤
Ambience is good. There is a lot of privacy because of the curtains. …",5 stars,moderate,Mughlai restaurant
kumar pushpankar,"Today I tried veg Briyani and Veg Tawa Briyani,not at all of good quality  Spices and Beans was used to prepare had wrotten smell.Will not recommend any Vegetrain  to try this and I will also not visit ever to this place.",1 star,moderate,Mughlai restaurant
Yusuf Ansari,"Nice place for dining, if you’re into Mughlai then it’s a must visit place for you.
Must have bhuna mutton and mutton biryani",5 stars,moderate,Mughlai restaurant
Devika Dinesh,"Tried their non veg platter .had kebabs, tikkas  and tandoor
Also tried mutton biryani with tender pieces of mutton
Tried gulab jamun with rabdi and kunafa ..both were good",3 stars,moderate,Mughlai restaurant
Waseem Siddiqui,"Worst Nalli Nihari I ever had... it was so watery like paya soup that it was difficult to eat it with Tandoori or Rumali roti.
Chicken Dum Biryani was very dry and below average.
Chinese food was good.",2 stars,moderate,Mughlai restaurant
R.v. Gowtham,"Food here is very delicious, traditional tastes of North Indian flavours. Chicken could've been slightly cooked better. Good ambiance for family too. Service is also friendly.",4 stars,moderate,Mughlai restaurant
rahul Chatterjee,"I like the food, ambience and interiors, good place to visit with friends and family, I felt like we came somewhere in tents. we ordered Kepsa and i think was average but rest chicken crispy, chicken Manchurian and chicken maharaja with Rumali Roti was awesome.",4 stars,moderate,Mughlai restaurant
Sarath Santhan,"Ahmed Bhai's Bry & Dry is a culinary gem conveniently situated near Nerul station, making it easily accessible. The restaurant's standout feature is its unique Mughal-inspired interiors, offering a floor dining experience that immerses you …",4 stars,moderate,Mughlai restaurant
kashif pawlr,"I ordered mutton Barra ,mutton was very hard
I ordered chicken Barra , it was good
Then I tasted bheja masalas,it was very sweet. …",3 stars,moderate,Mughlai restaurant
Keshav Agarwal,"Ahmed Bhai Mughlai Restaurant is a culinary gem that truly stands out in the world of Mughlai cuisine. From the moment you step in, the warm and inviting ambiance sets the stage for a delightful dining experience. The menu boasts an …",5 stars,moderate,Mughlai restaurant
Saurabh Singh,It was one of the best place to have north Indian cuisine a year back but currently you will not find the same taste every time you visit you will find a different taste in the same order. I personally loved Ahmed bhai for the Biryanis but …,3 stars,moderate,Mughlai restaurant
priyanka majumdar,"We went here for dinner, we tried few dishes in non veg here. The food has excellent quality and a very good quantity. The location of this restaurant is bang next to the main road. They have arrangements for the bigger groups and small …",5 stars,moderate,Mughlai restaurant
Supriyo Banerjee,Food is absolutely great. Price you will feel in budget. Staff approaches should be improved. Seems they are in a hurry.,5 stars,moderate,Mughlai restaurant
Kabir Khatri,"Went at around 6.30 pm on a sunday, and there was nothing ready. Only things available were tawa items and dal rice. It's a big no no if a restaurant can't serve customers by 6.30pm on sundays. The food was good, though!",3 stars,moderate,Mughlai restaurant
vishakha kasekar,The place is really good to hang out with friends and family. Ambience is really good and also the food. Lots of amazing food stuff is available. Non veg tasted nice. But the starters we ordered were not serve hot. And my friends even …,4 stars,moderate,Mughlai restaurant
Pradeep Anchan,"The food was not so flavourful. I had chicken biryani and tandoori chicken. Both were bland. In the biryani, some of the boneless pieces were overcooked. I had also ordered paneer Tikka. That was also bland and the paneer pieces were large chunks. The paneer itself was soft, so it seemed fresh.",3 stars,moderate,Mughlai restaurant
Imran mirza,"This place is located is sector 21 , nerul, diagonally opposite to HDFC bank. There are 3 restaurants and I visited the one which has a cost personal setting. One table can accommodate atleast 8 to 9 people. Service is average, since it is …",4 stars,moderate,Mughlai restaurant
Akash Poojari,"Aesthetically it has a royal look
The staff is prompt and kind but the waiting time is a bit longer once you order …",4 stars,moderate,Mughlai restaurant
Rohan Shingte,"I have been visiting Ahmed bhai past 10 years now..
Not even a single percent of quality in the dishes have changed....
Still the same. Still yummy. …",5 stars,moderate,Mughlai restaurant
Nishant Haralkar,"Great service
Best food for non-vegetarian lovers 😋
You visit with friends and family 👪 ❤️ …",5 stars,moderate,Mughlai restaurant
Brighten Jones,"Poor mgmt, reached there as a single person, he was behaving as if only 2 or more allowed........guys only if u wish to visit as a big family, they will welcome u like a anything....no respect for single person.....very less seats...pls avoid",1 star,moderate,Mughlai restaurant
ROHIT PAWAR,"Well, if you are true non veg lover then this place is perfect for you.
Nice location, nice ambience, amazing tasty food, what else do you expect.
The restaurant has two different sitting locations nearby each other. One with a …",5 stars,moderate,Mughlai restaurant
Prasanna Vaidya,"We came here with high expectations this time. But it is not up to the mark as I had heard from a few of my references. We ordered mutton chap fry and it was quite oily. We did try rumali roti and gravy item, the same oilyness was very much there. Plus the bill was too expensive as compared to taste",2 stars,moderate,Mughlai restaurant
Yuga R_T,"This place is awesome ❤️ great taste, nice ambience.. specially kebab and rabdi malpuva are very delicious 😋 …",5 stars,moderate,Mughlai restaurant
kodak rahul,It definitely goes by its reputation at the Best Meat Restaurant of Navi Mumbai. I was recommended by a friend and took my friends here for my Birthday and it was worth much more than what we paid. …,5 stars,moderate,Mughlai restaurant
Shaikh,"Entered at 7.45 pm full of smell ,Washroom not clean
Told staff to apply room freshner spray but nobody listen sorry to say as a regular guest of ahmed bhai nerul i was really disappointed. Hope ahmed bhai restaurant will come back to same as they was at the time of opening",1 star,moderate,Mughlai restaurant
Mohammed Firoz Ansari,"Visited this place on 31st the restaurant was full and we had waited for 10-15 min for the seat.
We had ordered a chicken platter, khapsa rice and kunafa from this place. …",2 stars,moderate,Mughlai restaurant
Foodadda Mumbai,"This is really a good place to visit. The hygiene that they maintain is really appreciable. The place serves great Mughlai food, seafood & khapsa biryani's 😍😋 …",5 stars,moderate,Mughlai restaurant
Subhojeet Haldar,"Shamiyana eating experience was awesome, you get a alot of privacy.
Food taste was not upto the point and as per price.
Baaki staff were very helpful and we liked the hotel experience more than the …",3 stars,moderate,Mughlai restaurant
Sharukh Patait,Must visit!!! Friendly staff nice ambience visit with friend and family.. my personal suggestions try Chicken boom boom (sizzler) in starters after that chicken lahori with rumali roti or murg musallam with butter naan and jeera rice finish with some mojito or ice cream..♥️♥️♥️♥️,5 stars,moderate,Mughlai restaurant
arpita Phadke.,Amazing food .. chicken is soft and tender.. mutton is juicy and malpua is amazing af!!! A bit unclean but would work,5 stars,moderate,Mughlai restaurant
amit verma,"Visited first time
Ordered mutton meals
Mutton kebabs were the best kebabs …",4 stars,moderate,Mughlai restaurant
Suraj B,Good place for dine in. Ambience wasn't per expectations.,3 stars,moderate,Mughlai restaurant
Sujit Rawat,Food is bit expensive but worth there are different types of seating arrangements mainly suggested for family and friends separately seating and privicy maintain.. Highly recommend Mutton lazeez super se bhi upar ka taste🤩.. due to covid …,4 stars,moderate,Mughlai restaurant
Abdul Nazir,There is delicious dish. We will full enjoy with our favourite dish. Its also valuable price. Not a costly.,5 stars,moderate,Mughlai restaurant
Bharat Sai,The food was good. I tried 2 starters and their iconic mutton biryani. The biryani was awesome the first time and avg in the second round. The starters were good.,4 stars,moderate,Mughlai restaurant
Tanveer Shaikh,Just visited this restaurant yesterday and ordered Chicken Khafsa Rice. The worst Khafsa rice I have ever eaten.request to all customer plz do not order khafsa rice.. Full waste of money on food.. This is my wrost experience in this restaurant..,1 star,moderate,Mughlai restaurant
Chaitali Patil,"Loved this place!The menu is never-ending.Great for chicken and mutton lovers!We had Chicken baida roti, Chicken tandoori, chicken lahori, rumali roti, banjara kebabs and chicken tikka biryani.Everything was so yummy!A muat visit.Dessert was malpua with rabdi, drool!😍 …",5 stars,moderate,Mughlai restaurant
Suprakash Mandal,"Ahmed Bhai

4th February, 2017 …",2 stars,moderate,Mughlai restaurant
AziF,"Had a great experience, food is delicious, ordered khapsa, rabdi, falooda and khunafa. The ambience is nice and well decorated. Best place to hangout and celebration, or party. It's just walking distance from Nerul Station",5 stars,moderate,Mughlai restaurant
abhishek kumar Singh,It was one of the best place to have north Indian cuisine a year back but currently you will not find the same taste every time you visit you will find a different taste in the same order. I personally loved Ahmed bhai for the Biryanis but know i don't think that they have the same taste as before.,4 stars,moderate,Mughlai restaurant
Dr Subia,"If ur taking a dine away, food is still ok, yet very oily.

But if ur planning to dine in, then the ambience toilets all r stinking of goat and sheep.the food served is tasteless and waste of money.",2 stars,moderate,Mughlai restaurant
yogesh keluskar,"Food is good. Non veg platter gets a thumbs up. Tandoori roti was soggy. Not very friendly staff, intimidating.
Good seating arrangement.",3 stars,moderate,Mughlai restaurant
Laeek Siddiqui,"Best place to have Mugali Nonveg food in the Nerul Area even in Navi Mumbai. One Must try Nalli Nahari (for Mutton lovers) and Nahari shoup.
Mutton and chicken biryani is also awesome. …",5 stars,moderate,Mughlai restaurant
