restaurant_name,restaurant_type,budget,review_count,rec_dishes,avg_rating
Jewel of Nizam - The Minar,hyderabadi restaurant,very expensive,4689,"['Mutton Biryani', 'Kebabs', 'Complementary Cake of the Day', 'Green Salad', 'Chicken Tikka Masala', 'Dal Makhni', 'Anokhi Kheer', 'Butter Naan', 'Apricot Pudding']",3.65
Verandah - The Park,buffet restaurant,,1109,"['Margherita Pizza', 'Pan Cakes', 'Salad Dressing', 'Dessert Platters']",3.6
Okra,continental restaurant,very expensive,3156,"['Fresh Watermelon Juice', 'Chicken Hot & Sour Soup', 'Mutton Biryani', 'Pickles', 'Chicken Roast', 'Dessert Platter', 'Greek Salad', 'Croissant', 'Eggs Benedict', 'Cake Slice', 'Veg Grill Pizza', 'Pista Ice Cream Baskin Robbins', 'Doughnuts', 'Veg Biryani', 'Pastry']",3.95
Sahib Sindh Sultan,restaurant,expensive,1470,"['Panner Tikka', 'Onion Salad', 'Gulab Jamun', 'Butter Chicken', 'Butter Naan', 'Roti PE Boti Kebab', 'Fish Tikka a La Lord Rippon', 'Mutton Seekh Kebab', 'Pan']",4.25
The Dining Room,buffet restaurant,,386,"['North Indian Thali', 'Pizza Bombay']",4.5
Celeste,italian restaurant,,137,"['Salad', 'Paya', 'Dosa', 'Chow Mein', 'Chutney', 'Passion Fruit Sorbet', 'French Toast', 'Pizza', 'Soup', 'Pesto Chicken Fusilli', 'Tiramisu', 'Fruit Platter', 'Creme Brulee']",4.45
Encounters,buffet restaurant,,111,[],3.55
Jewel Of Nizam,restaurant,very expensive,5030,"['Mutton Biryani', 'Kebabs', 'Dum Biryani', 'Tandoori Roti', 'Haleem']",3.95
"Deccan Pavilion, ITC Kakatiya",restaurant,,281,"['Roasted Vegetables', 'Kuni Paniyaram', 'Chocolate Cake', 'Garlic Naan']",4.25
Gufaa Ohri’s Cuisine Court,north indian restaurant,expensive,7701,"['Talwar Kabab', 'Kebabs', 'Chole Bhature', 'Browave with Ice Cream', 'Tikka', 'Chicken Biryani', 'Bulls Eye', 'Extra Bhature', 'Fish Tikka', 'Paneer Butter Masala', 'Paneer Tikka', 'Crispy Corn']",4.35
