Reviewer,Review,Rating,Recommended dishes,sentiment
Aniket Adsule,"Went for high tea. Costs 5310/- per head. High tea time: 3 PM to 5 PM.
Offers different juices, milkshakes, tea, coffee, desserts, sandwiches, snacks, etc. Available in both veg and non-veg.
At 3 PM, 30min guided tour of the palace is included in the high tea package.
The ambience and hospitality are very excellent. Instagram friendly.",5.0,,1
Nihad Mohiuddin,"Amazing place for an afternoon tea experience, recommended for special occasions, the service was top notch,food was amazing and the staff were very helpful in explaining the history of the place.",5.0,,1
Deepta Ratna (Jeet),"Outstanding experience dining in Falaknuma Palace and going for the Heritage walk afterwards.Indulge oneself in the exquisite ambience and rich history of Hyderabad Nawabs with lip smacking food and Taj group hospitality.Must visit if on a trip to Hyderabad.

Kid-friendliness: Excellent place for kids to enjoy and immerse in the beauty of Falaknuma Palace",5.0,"Tiramisu, Pizza, Passion Fruit Sorbet, Pesto Chicken Fusilli, Soup, Salad, Creme Brulee",1
rohit lala,"Celeste is a lovely Italian cuisine restaurant at the Taj Falaknuma Palace. The staffs are courteous and take care of you.
Only down side is the set menu which is very limited. I wish they add more options.",4.0,,1
Madhura Shankarpure,"Ambience is very nice, royal, even romantic also. Food is tasty. Specially I like all desserts. Service is awesome. Thanks to Sudhakar n team for special treat for our anniversary dinner.",5.0,,1
Dr U.K.Saketh,"We get the beautiful Feel of Royal dining at Taj Falaknuma Palace . We chose a pre set course and the Food is Good and the services are good, but definitely very expensive.One thing i was disappointed is about the candle light dinner .But overall worth a visit 👍🏻",4.0,,1
Bhairav Dalal,"2 days ago when we came here for dinner, it took them half an hour to get our falafel, today when we came here for breakfast, it took them 45 mins to get a paratha. The service here is as slow as it can be. Unless you plan on wasting 3 hours of your life on subpar food, I would not reccomend this place. In the words of a famous film star, their service was abysmal.",2.0,,-1
Arunima Biswas,Very good food.. very tasty 🤤 people's are very good.. atmosphere is also amazing.. must to visit,5.0,,1
Trupti Tate,It's a Royal dine experience with great ambience and exquisite delicacies.  Expensive but worth the experience.,5.0,,1
girish deshmukh,"Very peaceful atmosphere and restaurant ambience is too good, very neat and clean.",5.0,,1
Dinesh RamaRaju,I would only recommend the place for it’s hospitality and the ambiance.,3.0,,1
Rahul Bhowmick,A very good experience to eat there restrurent..it's a very good place ..,5.0,,1
Monika,Great Ambiance and tasty food makes it an amazing experience!,5.0,,1
Sugumar M,"Very peaceful atmosphere and restaurant ambience is too good, very neat and clean. Then coming to the food, it is very authentic texture and taste. If you visit once here then you'll definitely visit at least once again.",5.0,,1
PRATIBHA SONI,"This is a very good restaurant, you should go here again and again so that you can have a good experience.",5.0,,1
Dental Roots channel,"It was on my way today,I love south Indian food,food was delicious n tasty n had mouth watering deserts",5.0,,1
Sahil Shrivastav,"If you're seeking a dining experience that transcends the ordinary and transports you to a realm of pure luxury and elegance, look no further than Celeste at Taj Falaknuma. This renowned restaurant is a true gem nestled within the majestic palace-turned-hotel in Hyderabad, India.

From the moment you step foot into Celeste, you're greeted by an enchanting ambiance that reflects the rich history and opulence of the palace. The regal decor, adorned with chandeliers, intricate carvings, and exquisite artwork, creates a setting fit for royalty. The attention to detail is impeccable, with every aspect meticulously designed to offer a seamless blend of old-world charm and modern sophistication.

The menu at Celeste is a celebration of culinary mastery, showcasing the finest flavors from across the globe while staying true to its Indian roots. Each dish is a work of art, both visually stunning and bursting with complex, harmonious flavors. The skilled chefs pay homage to local ingredients, sourcing the freshest produce and incorporating traditional techniques to create a symphony of taste on every plate.

The service at Celeste is unparalleled, with a team of highly trained staff members who cater to your every need. The waitstaff is knowledgeable and passionate about the menu, providing insightful recommendations and ensuring that each guest feels pampered and indulged. Their attention to detail and commitment to excellence add an extra layer of grandeur to the dining experience.

The wine selection at Celeste is extensive, with an array of premium labels from around the world. The sommelier is well-versed in the art of wine pairing and can expertly guide you through the menu to enhance your culinary journey. Whether you prefer a robust red, a crisp white, or a delicate champagne, you'll find the perfect complement to your meal.

Beyond the exceptional food and service, the views from Celeste are simply breathtaking. Perched atop a hill, the restaurant offers panoramic vistas of the surrounding cityscape, allowing you to dine while immersing yourself in the beauty of Hyderabad. The sunset views are particularly enchanting, creating a romantic and unforgettable atmosphere.

In conclusion, Celeste at Taj Falaknuma is an absolute culinary masterpiece. It is a place where tradition meets innovation, where indulgence knows no bounds, and where every moment is infused with luxury. If you're seeking a dining experience that will leave a lasting impression and create cherished memories, Celeste is the perfect destination.

Note: Please be aware that this review was written based on information available up until September 2021. It's recommended to verify the current offerings and details directly with Celeste at Taj Falaknuma.",5.0,"Tiramisu, Pizza, Passion Fruit Sorbet, Chow Mein, Soup, Dosa, Fruit Platter",1
Ali S,Called them to book their high tea. Advised by their team I'd get a call back which never came through.,1.0,,0
irfan khan,"Awesome place. It looks like heritage, which is a very good experience. Many options are there to take food and enjoy",5.0,"Pizza, Dosa, Paya, French Toast",1
Akash Deep,"The place for lunch and dinner is very good.
We enjoy alots very much.
Kids are enjoy very much, over there.
Specially mutton is very tasty over there.

Vegetarian options: Vegetarian food is also awesome over there.

Parking: No comments...

Kid-friendliness: Kids friendly space.
Women enjoy to come there.

Wheelchair accessibility: Wheel chair available over there.",5.0,"Tiramisu, Pizza, Passion Fruit Sorbet, Chow Mein, Soup, Creme Brulee, Dosa, Chutney, Paya, French Toast, Fruit Platter",1
