Reviewer,Review,Rating,Recommended dishes,sentiment
Asha Nair,"Gufaa Ohri's Cuisine Court is located in Basheerbagh. This is the first Ohri restaurant. Now they have a chain of restaurants. These are North Indian restaurants. Gufa is on the second floor. Lift facility is there. This is a junglee themed restaurant. The interiors are fashioned like a cave, and very dark. Only the table is lit up. Food is good. There are veg and non-veg dishes available. There is also a variety of icecreams to choose from. During peak hours, you will have to wait for some time to get a table.",4.0,Paneer Tikka,1
dhirendra jaiswal,"If you are a adventure lover and wanted to discover new theme and great ambience while having meal,Ohri's gufa is your destination. It has a great veriet of delicious cousins. The staff is good and quick in service. The manager is a very good person and he is very professional in his work. He advised for appropriate food and quantity as per guest number and age group. Quantity of food is sufficient in comprising with other restaurants. Atmosphere of gufa is ok but need some more improvement as per theme subject. Satisfaction is key for any business so the owner must ensure this tag line. Dk Jaiswal

Vegetarian options: Having limited but good option for vegetarian

Parking: On the side of main road

Kid-friendliness: Kids menu are available",5.0,Crispy Corn,1
Joy B Hans,"I will rate it as good with 3 🌟
Positives
Location is central
Staff is excellent
Menu is well priced
Good spread of variety food

Negatives
Parking
Handwash outside restaurant
Very dark ambience
Food task is just good

You can try it once!",3.0,,1
Aishwarya Iyer,"Try the chole bhature here. And obviously, the Titanic icecream. Something i wouldn't suggest on your first visit is the crunchy bread rolls because it seems like just a fancier version of every other bread roll you get in bakeries. The customer service here is brilliant. They're super quick and really friendly and always have a smile on their face. Good place to have a quick talk too.
Wouldn't be a great place for professional meetups due to the dark ambience, but it isn't bad. It gives off a very calm vibe. I'm an introvert so it totally works.
Careful about the diabetes though ;)",5.0,Chole Bhature,1
Ramprasad V V,"Overall quality of food and service were good.

Recommend this for anyone .",4.0,Chicken Biryani,1
Jonah Jagadeshan,"Gufaa is the first Ohri’s chain of restaurants in Hyderabad and it still hasn’t lost its sheen nor its loyal base. This place is old school, prices are reasonable and the service is really nice.

The whole Gufaa theme with Kaante Nahi Kat te types of music takes you back in time. It seems like they are stuck in the 90s.

Recommended dishes
- Shaam Savera Kofta
- Naan Basket
- Paneer Butter Masala

Vegetarian options: Great vegetarian options, good variety and taste.",5.0,Paneer Butter Masala,1
Naresh rumalla,"Ohri's on  Bhasheerbag HAVMOR is the original name and this brings back my most cherished memories of my childhood family life in the year around 1960 and on many occasions my father used to take my family of six to this restaurant and my whole family used be very happy and jump with excitement to visit this place to eat tuty fruity 🍨 icecream with canned 🍓 fruits this was our favourite and chole bhature at that time this restaurant was the only place in Hyderabad to serve mouth watering icecream 🍨 vanilla ice-cream slices was also famous and the name HAVMOR is like HEAVEN to us my two sister's and brother and chole bhature is still my favourite and tall beauty icecream was later introduced and the most famous icecream introduced is LEWINSKY you know some thing can you guess ? THIS is the famous incident that took place in washington DC USA. MONICA LEWINSKY is the name that shook the power corridors search Google so some were around the end of 90's this happened and also US president BILL CLINTON was on his visit to Hyderabad and our ex chief minister of combined state of Andhra Pradesh our far sighted and dynamic leader Shri CHANDRA BABU NAIDU who made the INFORMATION TECHNOLOGY happened in Hyderabad and my new favourite icecream was LEWINSKY see the menu so this restaurant is still on top of the chart of my favourites you all will like LEWINSKY or some flavour so enjoy guys see you soon bye 😁🍨🍓👌👍!

Parking: TOP Location!",5.0,Chole Bhature,1
Prashanth Kumar Ravikanti,"Captain Susanta, the pepper prawns I recently tried at Ohri's Gufaa were outstanding. The prawns were perfectly cooked, tender, and juicy, with a satisfying crunch. The black pepper sauce had just the right level of heat, adding a spicy kick without overwhelming the palate. The balance of flavors was spot-on, and the dish was beautifully presented. Kudos to you and your team at Ohri's Gufaa for delivering such a delightful culinary experience!",5.0,,1
Muneer Uddin,"Dum Biryani is not like Hyderabadi. Taste was not good.
Butter Chicken is good
Butter Naan is good
Garlic Naan is good
Kulcha was also good.
Services need improvement 🙋‍♂️

Water and Thump Ups( Cold Drink) prices are equal.",4.0,,-1
Junaid Khan,Had a very pleasant dining experience here. The ambience and food is awesome. The service provided by Vijay is too good. He offered nice food suggestions and was quick to food serving. Overall great dinner outing,5.0,,1
