Reviewer,Review,Rating,Recommended dishes,sentiment
Sree Ch,"This restaurant has exceptional food with a blend of Hyderabadi Nizam/Persian and Indian influences. We made a reservation ahead of time. When we entered the restaurant, the guy who we thought was the manager/head of service was rude and had an air of arrogance. The guy who served us (Chandan) was good, though.

The food deserves 100 stars as it's quite unique and delicious. The presentation was also very unique. I have never had any food that had similar taste profiles anywhere else in india before. We ordered a non-vegetarian thali, a vegetarian thali, and a mutton biryani. The meat was sumptuous - it was so tender and delicately spiced. The thali is very huge with lots of food, including a couple of starters. So, one needs to go very hungry to be able to finish the dishes. Some of the dishes had saffron, and they were so good. I highly recommend this place to anyone who wants to try Nizam food. We paid Rs.7500 for three people and think it's quote reasonable for the quality and quantity of food.",5.0,"Mutton Biryani, Tandoori Roti",1
Sonam Goyal,We reached early and without reservation. The staff was quite clear about timing and yet accommodating. The set course was good however service was a bit slow due to pre scheduled events. Food was decent.,4.0,,1
Syed Salahuddin,"The Jewel of Nizam in Hyderabad offers a regal dining experience with its opulent ambiance and exquisite Mughlai cuisine. The rich flavors and aromatic dishes, coupled with impeccable service, make it a standout choice for those seeking a taste of royal indulgence. From the majestic décor to the delectable biryanis, this culinary gem captures the essence of Hyderabad's culinary heritage. A dining destination that seamlessly blends tradition and luxury.",5.0,"Haleem, Kebabs",1
Hiraash Thawfeek,Plush and high end restaurant with authentic Hyderabad food. Quite delicious. All dishes we tasted were intriguing.  Great place to have a good conversation with a group.,5.0,,1
Dhirendra Kumar,"Considering how famous this name is, the food that we tried was good. There was a short wait time. Menu listing isn’t too long though actual menu book is 😄. Ambience was set as dim classy dinning. Still 4 stars because I travel a lot and I had experienced better ambience and food for what I paid. Recommended for non vegetarian peoples.",4.0,,1
Angshuman Gupta,"The food and ambience was amazing, felt like a royal atmosphere. However, price is very expensive, per person around ₹2000",4.0,,1
usha ananthraj,"The sophisticated ambiance of this restaurant creates a warm and inviting atmosphere. Impeccable service from the attentive staff enhances the overall dining experience. The menu boasts a delightful array of dishes, each a culinary masterpiece. From the appetizers to the desserts, every bite is a symphony of flavors. Standout dishes include the perfectly seared [dish] and the decadent [dessert]. The attention to detail in presentation is commendable. The extensive wine list complements the menu beautifully. Overall, this restaurant delivers a memorable and enjoyable dining experience, making it a must-visit for those seeking refined cuisine and a delightful atmosphere.",5.0,,1
neloufer ali,"So I ate the non veg platter worth ,2300 which was an amazing experience ,you will feel yourself to be a nawab for a day.

My family ordered other things and the bill came around 7000+ we forgot to use the dine out option to check if there was any discount.
My compliments to the chef everything they made wrt non veg the chicken curry,haleem and even the veg dal was amazing.
Loved how they gave the ghee and onions separately for haleem.
Amazing experience wrt taste of the food and the people who serve there also made sure that all of us on the table had food and no person had an empty plate.
Sweets were not so great but the rest of the main course had amazing taste.",4.0,"Mutton Biryani, Tandoori Roti",1
Murali krishna,We couple really had a good time at jewel of nizam. Food is awesome and very tasty.Service is excellent and Ali explained items and served us well. Only thing which I found little difficult is that back ground music is loud if possible try to reduce the volume. Overall great experience. Thank you,5.0,,1
Mansoor Alam,Truly a 5 star ambience and service. The biryani was authentic as well as other hyderabadi dishes. There was ample parking space too. A perfect place for family get togethers.,5.0,"Mutton Biryani, Haleem, Dum Biryani",1
