Reviewer,Review,Rating,Recommended dishes,sentiment
Anand Inavolu,"Okra at The Park Hyderabad is a fantastic restaurant that delivers a truly exceptional dining experience. From the moment you step inside, you are greeted with warm and welcoming staff who are eager to make your meal a memorable one.

The ambiance of the restaurant is simply stunning, with its contemporary design, elegant furnishings, and striking lighting. It is the perfect setting for a romantic dinner for two or a celebratory meal with friends and family.

The menu at Okra is diverse and exciting, featuring a range of delicious dishes that are expertly prepared and beautifully presented. Whether you're in the mood for a classic Indian curry or a more international fare, there is something for everyone here. The food is always fresh and flavorful, and the portions are generous.

One standout feature of Okra is the exceptional service. The waitstaff is attentive and knowledgeable, always happy to answer questions and provide recommendations. They are also very accommodating, ensuring that special dietary needs or preferences are taken care of.

Overall, I would highly recommend Okra at The Park Hyderabad to anyone looking for an outstanding dining experience. The food, ambiance, and service are all top-notch, making for a truly unforgettable meal.",5.0,"Chicken Roast, Dessert Platter, Fresh Watermelon Juice, Doughnuts, Pastry, Veg Biryani, Chicken Hot & Sour Soup, Pista Ice Cream Baskin Robbins, Greek Salad, Eggs Benedict, Mutton Biryani, Pickles, Croissant, Veg Grill Pizza, Cake Slice",1
Sandeep Tangellapally,"We went for lunch buffet for our second marriage anniversary.  I wanted to talk about the atmosphere trust me it's worth visiting once if you are in Hyderabad, the place is so huge and well maintained. The staff is so grounded and knows how to talk to the customers properly and impress them. We were expecting the food section to be huge with a lot of varieties but it's normal and even the taste was normal but the deserts are very good. The reason we opted for this restaurant is It's a 5 star hotel in the city and the very old one. The price of the buffet is fine and we got a 50% GIRF deal in swiggy dineout.
The place is located exactly in the centre of the city with the best view of the hussian Sagar.",4.0,"Dessert Platter, Mutton Biryani, Cake Slice",1
Suxant,"This restaurant is located in the ground level of the Hyderabad Marriott hotel & convention centre. This is also the place where complimentary breakfast for the hotel guests are served. The ambiance of the place is great. It is also attached to the common swimming pool on one side of the restaurant. The prices are slightly expensive than the neighboring restaurant Bidri. Also the service at Bidri is better than this one. Found out that there is usually a delay in serving food once the order is placed. Even taste wise it could not match Bidri. Having said that, the experience was not that bad at the same time. There are a few evident areas for improvements. Currently there are discounts offered on dining for Zomato Pro/ Gold members. Overall, a decent experience.

Parking: Plenty of parking available",3.0,,1
Minakshi Bhaumik,"We had a buffet lunch here , the ambiance is very good of course it’s five star property. The snacks options were very less though .I found salad interesting. Overall it was not that great with variety buffet if I compare with other five star property.",4.0,,1
kalipatnapu Anusha,Food was ok for the price. It could be more better. Veg starters can be more. Desserts are good.,3.0,,1
Betsy George,"Visited this place on Republic Day brunch- the atmosphere,  the live band, live counters and food up to the mark..special mention of the Amazing spread of desserts!
Wonderful experience..Thanks team Marriott!!!",5.0,,1
Mahek Desai,"After the enchanting Christmas Tree Lighting at @marriotthyderabad , I was tempted to check out what the had to offer in their lavish Christmas Buffet feast.

And oh the spread! From mains to desserts, the options were plenty and delectable. Kids will have a ball around all their adorable Christmas-themed decor and I definitely did too.

#christmasmood #christmasjoy #christmasday #christmaseve #christmasparty #christmasgifts #santaclaus #christmascheer #christmastime #christmastree #chennai #keralatourism #banglore #mumbai #delhi #goa #gaintrick #hyderabadblogger  #memesfunny #bestmemes #memestagram #funnymemesdaily #funnyvideos #memesinstagram #memes😂 #funnymemes #memesdaily #meme #gainwithxtiandela #photooftheday",4.0,,1
omega moto,"Bad food, the food specified in the only menu is not the same as what’s avilable in live. I am a foodie so I know food, worst place in Hyderabad",1.0,,-1
Yogi Poti,"We went for lunch buffet for our second marriage anniversary.  I wanted to talk about the atmosphere trust me it's worth visiting once if you are in Hyderabad, the place is so huge and well maintained. The staff is so grounded and knows how to talk to the customers properly and impress them. We were expecting the food section to be huge with a lot of varieties but it's normal and even the taste was normal but the deserts are very good. Very nice",5.0,,1
AMIT DWIVEDI,"The restaurant is very beautiful with nice ambience and warm staff.

The Buffet Spread (starters) is good and nice variety . Options for vegetarian are few and that may be a deal breaker .

The Main course dinner spread is good and does live upto the std of the name. Overall a good place to have buffet delite for NV lovers .",4.0,,1
