Reviewer,Review,Rating,Recommended dishes,sentiment
anupama reddy,"We visited this restaurant yesterday for a buffet. The taste was not so good, ambience was great, staff were good and polite. It costed rs.7300 for 2 people.

Vegetarian options: Pasta, chat items, biryani, curries, north and south Indian curries, rice, desserts were good.",3.0,,-1
Piyush,"The Dining Room exceeded my expectations! The ambiance was charming, the service impeccable, and the diverse menu offered a delightful array of flavors. Each dish was expertly crafted, showcasing a perfect blend of creativity and culinary skill. It's a must-visit for anyone seeking a memorable dining experience.",5.0,,1
Nikhilchakradhar Nekkalapu,"I've had lunch buffet at The Dining Room, and it was amazing.

Right from the front desk desk staff to the cleaning staff. Each one of them welcomed me with a smile. I really like when people greet with smile. Not just while greeting, even while clearing my plates, while serving food, and during taking down my order, they didn't miss a smile on their face. 5/5 for staff.

Buffet included North Indian, South Indian, European, Asian, Italian, Chaat and not to forget the amazing desserts.
I loved every item on the menu as they tasted amazing. I just can't mention 1 or 2 dishes as most of the dishes were amazing. 5/5 food.

Ambience was too good. 5/5 for atmosphere.",5.0,,1
K P,"I recently had the pleasure of enjoying the buffet lunch at Park Hyatt, and I must say it was a memorable dining experience with a mix of delightful surprises and a few minor disappointments.

The buffet spread, while not extensive, covered a wide variety of cuisines, offering a satisfying selection of dishes. One standout item that truly impressed was the Adrak Ghost Shorba, which was heavenly in flavor and undoubtedly a highlight of the meal.

The atmosphere at Park Hyatt's restaurant added to the charm of the dining experience. The cozy ambiance and the tasteful decor created a warm and inviting setting. The seating arrangements were comfortable, and the attention to detail in the decor, including elegant lighting and well-chosen furnishings, contributed to a relaxed and upscale dining environment.

However, it's worth noting that the live counters, including the soup kitchen, didn't quite live up to expectations. Live counters often add an interactive and engaging element to the dining experience, so it's unfortunate that these aspects fell short.

On the brighter side, the starters were a hit, with the mushroom dish being a standout favorite. The high quality and flavors of the starters were certainly praiseworthy.

The service experience was a mix of two sides. While the senior staff appeared somewhat aloof, the table wait staff was excellent and attentive, making sure our needs were promptly met. The chefs, too, played a pivotal role in enhancing the dining experience, creating memorable moments with their culinary expertise.

Lastly, the desserts were nothing short of fantastic. It's always wonderful when the sweet ending of a meal leaves a lasting impression, and this was undoubtedly the case at Park Hyatt. The dessert selection was a delightful treat for the taste buds.",5.0,,1
Himanshu Chandra,"Went for Dinner Buffet with family. The food was good, however, the service was not up to the mark. We had ordered dosas & pastas from the live counters, despite waiting for more than 1.5 hours, didn’t get any order served. At the live counter, they didn’t even bother to note down the order, whenever we reminded, the standard answer was “we are making other orders, you will get yours soon”, in the end, we didn’t get anything!

The people at the live counters were making the food so slowly and didn’t bother at all about service. Even the breads like Naan / Roti took a very long time to be served.

If you have live counters, please staff them properly! Secondly, being a vegetarian, found it quite disappointing that the Veg & Non-Veg Biryanis were put side by side with a shared spoon (noticed people using the same spoon for the veg & non-veg), Pasta section also, the spaghetti was overflowing into a tray with meat / seafood in it. These are basic things that one would expect a five star hotel to ensure / follow specially in India.",2.0,,1
Sam,"The moment I entered, the cozy atmosphere and friendly staff made me feel welcome. The menu featured a wide range of options, and each dish was a masterpiece of flavors and presentation. The Pan-Seared Scallops melted in my mouth, while the perfectly cooked Filet Mignon left me craving for more. The staff was attentive and knowledgeable, guiding me through the menu with expertise. The attention to detail and the culinary skills of the chefs were evident in every bite. The Gourmet Corner is undoubtedly a hidden gem that I would gladly revisit.",5.0,,1
Gurvinder,Food was good and great value for money and service was attentive and efficient. Great experience😊,5.0,,1
Archana Mishra,Good & tasty food like ma ke hath ka khana good service provide & atmoshepe is very pease & calm i love this place for birthday party & some fun with friends,5.0,"North Indian Thali, Pizza Bombay",1
Nishant Kumar,They personally messaged me to give five star to this restaurant even though i haven't visited it once. I don't know if this restaurant good or not but i know all their reviews are fake.,1.0,,-1
Manish Bajaj,"It's an awesome place and the staff is so kind.
Love the food here.",5.0,,1
Prashant Didwania,"The dining room experience at the hotel was exceptional. The ambiance, service, and food quality exceeded expectations, making it a memorable stay",5.0,North Indian Thali,0
Varnika J,"Blend if modern n Indian influences makes it a perfect place for meal.. try the INDIAN THALI esp...priced at very affordable 599/699 veg/non veg..
Definitely will visit again",5.0,,1
Namita Das,"Quiet place for lunch, hence good for family time..the price is a bit on the higher side though...

Wheelchair accessibility: It is easily accessible as there are no steps and enough space for movement.",5.0,,1
Suraj pratap Singh,"was dying to eat dimsumps, and i landed up at Park Hyatt. Thankfully i met Meghana, who beautifully redirected me to this space. Though it wasn't in their menu, she spoke to the chef and exclusively for it made for me. And it was tasting GOOOOD. What i really appreciate is her efforts of making it happen for me. That really made me smile! Thanks to her!!!!",5.0,,1
Mani Peter,Very good quality and tasty food I ever seen before it's really good experience.,5.0,North Indian Thali,1
Shivkumar Kalyankar,Food was very tasty and service was also good. We enjoyed,5.0,North Indian Thali,1
Babi Civil,"Has an excellent scenic view, humble and cooperative staff, and a reception staff that explains the property and guides city tours",4.0,,1
Fast Ecstacy,"Luxury -Top Rated 5 star hotel in Hyderabad.
Revised . 02-Nov-2023.",5.0,,1
himanshu khari,"It's a great place to hangout and the food is so delicious
A must visit place",5.0,,1
N@g@R@j Goud b@nt@ram Man To be The Le@Der,"Adarsh served in a pleasing manner..his hospitality is really good

Vegetarian options: Good",5.0,Pizza Bombay,1
