Reviewer,Review,Rating,Recommended dishes,sentiment
Jedidya Ephraim,"We went to this restaurant as a family of 5 adults and 2 kids. We enjoyed the food, the ambience, the service and the atmosphere. The Bastar Chronicles food festival was the highlight, our parents reminisced about the food from Bastar in Chhattisgarh. Our kids got to run around the tables and ate to their tummies full. The dessert section was overloaded too.

Kid-friendliness: A lot of space for kids to run and enjoy the place.

Wheelchair accessibility: Yes",5.0,"Salad Dressing, Dessert Platters",1
Tripti KGolem,We were here for my sister’s birthday and we had a wonderful time. The consistency of food has definitely changed but not in a negative way. It’s just a little different but fresh. Extremely fresh and flavourful menu. Had some scrumptious food and drinks. Their salad spread was great. Highly recommended for family dinner.,5.0,,1
Jyoti Prakash Deka,"Great food, great ambience, great views overlooking the Hussain Sagar and great service makes this an awesome place for your small get together and parties. The buffet spread is great along with great taste.",5.0,,1
Monika _delicacies,"Recently i visited this place and i totally loved it. I attended their ministry of brunch, which was so good.. Everything was so perfect and unique.. There were lots of varieties in veg n non veg.. Starting from starters to main course, each and every item was worth it. Highly recommended 👍",5.0,"Dessert Platters, Pan Cakes",1
Anand Inavolu,"An Unforgettable Culinary Experience at Verandah - The Park, Hyderabad

Verandah - The Park in Hyderabad left an indelible impression on me from the moment I stepped foot into the restaurant. This captivating dining destination truly encapsulates the essence of fine dining, blending together exquisite ambiance, impeccable service, and an unparalleled gastronomic journey that will leave your taste buds dancing with delight.

As I entered Verandah, I was immediately struck by the restaurant's elegant decor. The spacious layout, adorned with tasteful furnishings and an abundance of natural light, created a welcoming and warm atmosphere. The meticulously curated interior design perfectly balances modern sophistication with a touch of traditional charm, setting the stage for an enchanting dining experience.

The highlight of my visit to Verandah was undoubtedly the outstanding culinary delights that were presented to me. The menu features an enticing array of dishes that beautifully blend flavors and textures from both local and international cuisines. Every dish I sampled was a work of art, meticulously crafted with attention to detail and bursting with incredible flavors.

The culinary team at Verandah truly knows how to take your taste buds on a journey. From the perfectly spiced and tender kebabs to the aromatic biryanis and the innovative twists on traditional desserts, each dish showcased the chef's creativity and culinary expertise. The presentation was impeccable, and the quality of ingredients used was evident in every bite.

However, it's not just the exceptional food that sets Verandah apart; the service is truly outstanding. The staff members are friendly, attentive, and knowledgeable. They are passionate about their craft and take pride in ensuring that every guest has a memorable dining experience. From the moment I arrived, I felt warmly welcomed and cared for, as if I were a valued member of their culinary family.

The attention to detail at Verandah extends beyond the food and service. The restaurant also offers an impressive selection of beverages, including carefully curated wines, handcrafted cocktails, and refreshing mocktails. The beverage menu perfectly complements the culinary offerings, elevating the overall dining experience to new heights.

Furthermore, the serene outdoor seating area overlooking a beautiful garden provides a tranquil oasis amidst the bustling city. It's an ideal spot to unwind with a drink or enjoy a romantic dinner under the stars.

In conclusion, Verandah - The Park in Hyderabad is an absolute gem that exemplifies culinary excellence. It seamlessly combines delectable cuisine, elegant ambiance, and exceptional service to create an unforgettable dining experience. Whether you're a connoisseur of fine food or simply looking for an enchanting place to enjoy a special occasion, Verandah is an absolute must-visit. I can't recommend this restaurant highly enough, and I am already looking forward to my next visit.

Note: Please note that this review is based on my personal experience and reflects my honest opinion.",5.0,,1
Barnali Dey,"Decent food, good ambience and the pool side view makes it one of decent option for lunch/dinner. Desert spread is good but would expect good spread of other main course as well. Would love it if they work on the taste wise quality of the food. Though it's a 5 star but day by day the maintenance is going on low side.",4.0,,1
Jahangir Ali Khan,"Hey everyone!
Was here to try out their ala carte menu with my family.

First thing first, this is one the luxury/Star property of somajiguda, the park which needs no introduction, one of the most popular spot to have food with awesome pool side seating ambiance.💯

Follow me on Instagram @cravetrell.hyderabad for more exciting food stuff/Explore.

The food we have ordered was
1. Penne Alfredo chicken pasta ⭐️⭐️⭐️
2. Tangra Chilli chicken ⭐️⭐️⭐️⭐️⭐️, this was scrumptious, don't forget to order this
3. Fish and chips ⭐️⭐️⭐️⭐️
4. Thai chicken red curry with steamed rice⭐️⭐️⭐️.5
5. Chicken lollypop ⭐️⭐️⭐️⭐️
6. Classic Chicken tikka ⭐️⭐️⭐️⭐️(Must try)
7. Mojito (Not worth at all) don't order this( indeed you are wasting money) ⭐️
8. Hyderaba dum ki Biryani ⭐️⭐️⭐️⭐️
9. Rabdi gulab jamoon ⭐️⭐️⭐️⭐️
10. Butter chicken ⭐️⭐️⭐️⭐️ with butter naan ⭐️⭐️⭐️⭐️",4.0,,1
MOHAN KUMAR,"Not worth at all, total waste.
We went for buffet here, and the food taste is ridiculous. All items were cold and some are not even edible.
They were charging for water as well which is ridiculous. Unless otherwise you have a huge discount on the bill, it’s not worth trying here.
Usually when we go to barbecue buffet, we’ll at least like one item and we stick to it. But here none of them tastes good. Even ice cream is so salty.
Service is very bad, we have to keep asking them to bring this and that multiple times.
Don’t even dare to try schezwan chicken.
My bill amount for two is 2877 and I paid 1537 with Dineout, even then I feel like it’s not worth at all. Don’t waste your money here. I gave 2 star only for The Park, and Ambiance outside restaurant.",2.0,,-1
Praveen Bharatam,"I am specific about the new year event.
It's chaos. They were not able to manage crowd, the elevators were down due to heavy duty, management, security got confused the bands they had issued. It must have been organized a lot lot better. I would never go again to any events here.",1.0,,-1
Sridhar Gupta,"Really loved the place with beautiful side view of hussain sagar... The ambience and the hospitality of staff is very good.

Coming to the food.. It taste awesome started with soft drink.. Need to try the mocktail of Kiwi flavour... Crispy corn and pizza adding to it... Simply delicious..

Buffet with thier arrangements is so beautiful for eyesight...

All though its a fivestar hotel..

People who love taking photos selfies.. Benefit for u guys to capture much photos with a background..

Those who are fond of tollywood movies.. Can relate few scenes in this location..

Worth visiting the place for food, sight view and staffing response for their customers...",5.0,,1
