Reviewer,Review,Rating,Recommended dishes,sentiment
Kaneez Abedi,"On Wednesday night i ordered this veg tawa pulao , cost was 250 and it turned out to be the worst. I went to take the home delivery by myself. Pulao was so spicy and the taste was very bad. I don't know what went wrong in making but this wasn't accepted.",2,,-1
Rahul Sonkar,"Visited rhis amazing mughlai cuisine restaurent with friends and it was totally amazing. Probably the best mughlai food place in navi mumbai. Must visit place. The ambiance is plus point for them as it is totally amazing ï¿½ï¿½ï¿½ï¿½.

We had chicken platter which was soo tasty and mouthwatering too. Along with that we tried bheja fry, mutton kheema and chicken kheema along with rumali roti. The taste was really amazing!!! Never had such tasty kheema ever. I am gonna definately visit here again.

In dessert we had kunafa, faluda and malpua which is their speciality. You must definately try their kunafa it is just wow. Yes wow is the word!!!

The staff was curtious and helpful. They suggestes and guided through every dish. The hygine was well maintained and the service was also fast. This place is usually packed so reservation is recc",5,,1
GANESH JADHAV,"Nice shamiynan and look created in hotel. Nice dishes too. We tried mutton masala, kabab. This time we tries mutton sikh kabab. Rumali roti and mutton sukha we tried.",5,Tandoori,1
Kingshuk Mazumder,"It definitely goes by its reputation at the Best Meat Restaurant of Navi Mumbai. I was recommended by a friend and took my friends here for my Birthday and it was worth much more than what we paid.
The service was spot on and the people working in the restaurant were taking feedback after every dish. The decor was really impressive too. For sure a regular spot for me from now.",5,"Murgh Mussalam, Tandoori",1
Priyanka R,Best for non-vegetarians. Had veg biryani which was ok ok and not good for Chinese ordered veg manchurian which was so hard couldnï¿½ï¿½ï¿½,3,,0
Atul Salvi,"Food we order was mughlai Mutton Kepsa
It cost about 1950 rs taste was great, good quantity, 9-10 person can have one full Kepsa rice
Ambience needs to renovate.
Otherwise all seems to great to have non veg dishes in Nerul havi Mumbai.",4,,1
Rohan Powar,To costlyï¿½ï¿½ï¿½bad serviceï¿½ï¿½ï¿½very bad quantityï¿½ï¿½ï¿½there chicken is coming from USA so itï¿½ï¿½ï¿½s too costlyï¿½ï¿½ï¿½ordered leg piece got t,1,,-1
Shailesh Warang,Overall it is a average eatery to taste Mughlai cuisine. We had ordered mutton dum biryani which ok..but the started mutton Bara was a disaster.  Unwarranted meat prices covered with spices..it was a the big turn off.. they have created shamiyana kind of sitting arrangement and interior is less illuminated. Vibes are little towards negative side.,3,,-1
P H,Has table seating for 10-11 ppl in booth type seating. Food is quite tasty and staff is prompt. Winter special paya soup was a revelation while chapli kabab was average. Persian thaal had decent sized portions though it was slight pricey imo,4,,1
Abhijeet Gite,"Ordered from swiggy, it was very bad experience. We found cockroach in egg biryani not sure why they donï¿½ï¿½ï¿½t maintain hygiene. Also taste of chicken biryani was very average not worth the ",1,,-1
