Reviewer,Review,Rating,Expense,Type
Sunil Gandhi,"Must visit place , loved the food and the service .!!

We have tried the vegetarian options and flavours were very rich .!! …",5 stars,expensive,Pan-Asian restaurant
Abhishek Malviya,"We've been to this place multiple times, but this time around ambiance was a little different from our previous visit, maybe coz we went late around 10.30 pm. The staff seemed in a rush and wanted us to place an order and go back home. …",3 stars,expensive,Pan-Asian restaurant
Amar Rao,Amazing food with quantity service provided by Rahul. He was very helpful and courteous. Had ordered Traditional Crispy Lamb which too good. Xiao Long Soupy Dimsum was very tasty. Fiery Thai Shrimp Fried with Asian green chilli chicken ribbons was awesome. Mama’s chicken broth for the hungry soul was mind blowing.,5 stars,expensive,Pan-Asian restaurant
Om Khandeparkar,"Mamagoto is a super cute, super lovely eatery located on Hill Road in Bandra, a short walk away from Marks and Spencers. I loved the vibe of Mamagoto from the moment I walked in, The entire atmosphere has this beautiful East Asian …",4 stars,expensive,Pan-Asian restaurant
Shantanu Bharadwaj,"Excellent food . Even a standard dish like fresh lime soda was prepared very well. Recommend the Prawns wrapped in bacon , teriyaki skewers and  chicken pan fried noodles. …",5 stars,expensive,Pan-Asian restaurant
Vinny V,"We visited Mamagoto for lunch on a Saturday. It's a quaint little place on hill road, Bandra. Food was amazing. We ordered crispy chicken sushi, mushroom bao and sponge cake with caramel sauce and ice cream. Each item was exceptional in taste. Can't recommend it enough. Would love to go back and try more stuff.",5 stars,expensive,Pan-Asian restaurant
Prayukta Mohanty,Absolutely lip smacking food. Couldn't recommend it enough! The portion sizes are generous too and prices reasonable. Do look out for the bowl meals. Must visit!,4 stars,expensive,Pan-Asian restaurant
Sassy Sonal,I was excited to visit this place… but as we entered it gave a vibe of a local dhaba.. the staff was like local south india restaurant servers… not really a good experience.,2 stars,expensive,Pan-Asian restaurant
Sangeeta Mhatre,"Mamagato
It is Pan Asian restaurant located at Pali Hill Bandra West. Interiors are beautiful. Wall art is charming. Seating is comfortable, they have a washroom too. …",5 stars,expensive,Pan-Asian restaurant
Tanya Rapose,"Food was really good. Service was not the best. They brought the whiskey first and added ice to it and we had to wait for a while until the cocktails arrived to cheers by then, the whiskey was watery. …",3 stars,expensive,Pan-Asian restaurant
