Reviewer,Review,Rating,Expense,Type
Riddhiman Chanda,"Linking Road in Bandra is home to some of the best food in the city, and one of the best asian joints in the place is The fatty Bao. It has a modern, chic vibe crossed with a vibrant and sassy decor, perfect for a date night, or for a …",4 stars,expensive,Asian restaurant
Priyanka Saravanan,"The tempura sushi, mushroom dumplings, cottage cheese bao and avocado cheese sushi all tasted amazing. Cocktails could have been better since they were expensive. The mushroom and chicken Ramen weren't very authentic since I have had better ones. Overall it was good, would go again and order more of their appetizers.",4 stars,expensive,Asian restaurant
Sajit S,"The menu at Fatty Bao is a true culinary masterpiece. With a wide range of delectable dishes inspired by Asian fusion cuisine, there is something to satisfy every palate. Whether you're a fan of sushi, dim sum, or flavorful stir-fries, …",5 stars,expensive,Asian restaurant
Janesha Noronha,Hi so i’d been to this place this weekend. The ambience was okayish. No good music . The food wasn’t as delicious as expected! Tried prawn tempura sushi which was 3/4 . Chicken made in homemade spices chilly oil was tasty 4/5 . Quantity was …,3 stars,expensive,Asian restaurant
Niraj Raviya,Great Ambiance good food however the AC was not good. When asked The staff replied it’s because the window is open. For a place that charges premium customer experience should be their first priority.  Fix the cooling.,4 stars,expensive,Asian restaurant
Tasia Rodrigues,"My go to pan Asian place here in Mumbai
Exciting offers on swiggy dine out
Recommend dishes:  char sui pork bao,prawn tempura sushi, pad Thai noodles and their Japanese cheese cake is a must",5 stars,expensive,Asian restaurant
CINDY DSILVA,We went here because we hadn't made a reservation anywhere and most of the good restaurants were full. …,3 stars,expensive,Asian restaurant
Vibha Kale Music,Took the set menu which is four course menu. Really liked the mushroom and char grilled corn soup. The Japanese cheesecake was really yum. Sushi was nice but I've had much better sushi at other joints. Main couse was noodles and chicken and …,4 stars,expensive,Asian restaurant
Sumit Yadav,"We tried chicken Ramen, and the price and the quantity was very disappointing, it cost us around 590 rupees, which couldn't fulfill even  one single person. …",3 stars,expensive,Asian restaurant
Jessica Lobo,"I took my brother out to try ramen for the first time.
Had a great experience at The Fatty Bao, we ordered:
1) Avocado and Cream Cheese sushi …",4 stars,expensive,Asian restaurant
Arun Kumar Madirala,"It is a wonderful place! Although there is a laid-back vibe, the staff is nevertheless really amiable. You can tell that ensuring the satisfaction of their clients is their top priority because they are knowledgeable and capable. The food …",5 stars,expensive,Asian restaurant
Narendra Pratap Singh,"Just beside the Monkey Bar.......An authentic Asian restaurant.
The quality, taste, quantity is very good as compared to the price.
We had the.... Tantanmen Ramen and Steam Boiled Fish with Asian Curry and …",4 stars,expensive,Asian restaurant
Rajesh Gwalani,"Asian restaurant located in the famous kfc lane of bandra/khar and adjacent to monkey bar.
We tried wild mushroom dimsum and fatty lotus root small plate. …",3 stars,expensive,Asian restaurant
Chandrasekhar Emani,"A cute little place with peppy ambience and some scrumptious food. We ordered the Firecracker Cottage Cheese Bao and Sushi along with some choices of ramen namely Tantamen, Chasu and Veg via Malaysia. The bao was delicious with refreshing …",5 stars,expensive,Asian restaurant
Dipak Vishwakarma,"I am not very big on Asian food but i decided to try it anyway and a friend recommended this place so, here we go. The ambience is very pleasant. very hospitable staff. …",4 stars,expensive,Asian restaurant
Jyoti Keswani,I have been to this place twice and we have had a good experience here both times! This time we ordered two dishes - …,5 stars,expensive,Asian restaurant
Dhwani Shah,Amazing food with a very cosy and casual vibe. Loved almost everything that we ordered. Great Jain food options. 👍🏻 …,5 stars,expensive,Asian restaurant
Adarsh Mishra,"Fatty Bao 😍
Visited this place with 4 of my friends for Dinner. The place is located near KFC, Linking Road, Bandra (West) Approx 2 Kilometre from Bandra Railway Station . …",5 stars,expensive,Asian restaurant
anushka agarwal,"I visited them at Ajio Luxe Exhibition n trust me, the mushroom baos were to die for, to the extent that I had 3!
The best baos I’ve ever had… …",5 stars,expensive,Asian restaurant
Nilesh Sonawane,"The Fatty Bao!!

This beautiful restaurant in bandra is making a buzz, and the quality of food, …",5 stars,expensive,Asian restaurant
Devanshi Pandya,A must try restaurant. Food was so good and the staff is lovely.,5 stars,expensive,Asian restaurant
