Reviewer,Review,Rating,Expense,Type
Sunil Gandhi,"Highly recommended..!!
Wow..! Great taste great food and great experience …",5 stars,expensive,Cocktail bar
Alok Adi,Nice place to enjoy food and drinks! The food is very good. The drinks are okay. The options in non alcoholic beverages are limited. The sitting area is spacious when compared to other restaurants in Mumbai. It is located in a street around 10 mts from the main road. Overall a good place to enjoy lunch and drinks with friends!,4 stars,expensive,Cocktail bar
Marsha Russell,"This was a wonderful find during our days in Mumbai! We loved the atmosphere, the choices of beer and food, the friendly bartender, and the fun music they played! The nachos were delicious, and we followed that by spicy vegetable biryani, which was also very tasty. We liked our meal so much we came back the second night as well!",5 stars,expensive,Cocktail bar
Jinesh Nair,This has to be the found of the month not but not because of the usual aspects like vibe or music but rather because of the food and which was a pleasant surprise because in this day and age there is almost no differenciation of food …,5 stars,expensive,Cocktail bar
Kriti Jain,"My friends and I visited this place for the 1st Jan special brunch and it was amazing!
The food and drinks were really good. …",4 stars,expensive,Cocktail bar
Akshita Bhandari,"Delightful!!! Every single experience to this place has been memorable…  Staff is friendly and would help with best recommendations for food 🍲 or drinks 🍺. The live music is 😍.  Been there for lunch and dinner, equally great experience to be in such a cozy place. …",5 stars,expensive,Cocktail bar
Pratik Jangle,"Absolutely loved the ambiance of this place! Food was great and service was decent too. Music was perfect (felt like someone is playing my playlist) Plenty of good option for cocktails and mocktails. Great place to hang out with friends.
Definitely one of the best restaurants in Bandra!!!",4 stars,expensive,Cocktail bar
AJay Sadh,"I recently visited a charming restaurant on Linking Road that seamlessly transforms into a vibrant dancing lounge bar. The cozy ambiance creates an inviting atmosphere, and the transition to a lively space with great vibes is impressive. The music selection is excellent, setting the perfect mood for a night of dancing.",5 stars,expensive,Cocktail bar
Parth Dutta,"Loveddd it! Beautiful ambience, great food, excellent drinks and yummiest desserts",5 stars,expensive,Cocktail bar
India Woods,"I took my mum there to try out The All New Food Menu as we are proper foodies! We tried everything and it didn’t disappoint
We started off with the Chimmichuri prawn tostada’s, they were delicious. I …",5 stars,expensive,Cocktail bar
KASHIF TANWAR,I would be happy to write a review of The Little Easy which is located in Bandra West! …,5 stars,expensive,Cocktail bar
dhruvika parmar,I had visited little easy with my friends and I totally loved the restaurant. Amazing hospitality. They have the most amazing cocktails . The quantity and quality of the food is too good . I had tried their veg as well as non veg food and I …,5 stars,expensive,Cocktail bar
Vritti Khawani,"No doubt my favorite fine dine place in Bandra!
- Convenient to reach as it’s at Link Road
- Mind blowing cocktails, seriously if you want to try great cocktails go here!! …",5 stars,expensive,Cocktail bar
Priya Gupta,Great ambiance & food love the service place is insta perfect. I love the house of garlic bread it was so cheesy. I had really great time. Thank you for inviting us♥️,5 stars,expensive,Cocktail bar
