Reviewer,Review,Rating,Expense,Type
Sandesh Patil,"I enjoyed my last night dinner with BBQ Nerul lovely staff , they're really trying their best to give you good food quality and very  good service
I would like to specially thank biswajit and lalu Oraon from the service team
Thank you 👍 …",5 stars,expensive,Barbecue restaurant
Kaval Kaur,"Barbeque nation - Pioneers in the concept of cooking half cooked barbecue it on your table which excites a lot.Starter are really good and filling, you have good options in main course and lots of desserts. It's better to book in advance and go early so that you have ample time to enjoy",5 stars,expensive,Barbecue restaurant
Salman Aslam Khan (Salman khan),"Yesterday night was very mesmerising for us because the atmosphere we have experienced over here was so amazing. A place full of happy crowd including children , parents, Office people they all having the same vibe as we did. …",5 stars,expensive,Barbecue restaurant
Rohit M,"Probably one of the most ordinary Barbeque nations I have visited so far.The staff is really nice but the food is pretty ordinary, their whole focus was to get get good reviews, if half of it was aligned to preparing good food they would …",3 stars,expensive,Barbecue restaurant
akash sharma,"Had been tonight for the birthday celebration for my daughter. The food is on the spicier side and can can be reduced.
Starters has a good variety and our attendent Mr. Deepak was a great help in …",4 stars,expensive,Barbecue restaurant
Aniket Ankam,Amazing place to have an unlimited buffet where you can find so many veg and non-veg options. …,4 stars,expensive,Barbecue restaurant
SHAHID KHAN,Last night I visited Barbeque nation nerul branch abve HDFC BANK with my wife for my birthday dinner this was my bestest decision that i have taken because the food was soo delicious and yummy and part from food the staff is too friendly …,5 stars,expensive,Barbecue restaurant
Juveria mohdnehlat,"I have recently visited here, I must say amazing food with so many varieties to try and a great ambience. The best part is the staff hospitality is amazing here, i actually wanted to pray, so the manager here helped me get the extra space cleaned up they really go extra mile for customer service really commendable ❤️",5 stars,expensive,Barbecue restaurant
Gautam Kher (gauti),"Great to have dinner with family or loved ones.
Great and tasty starters
You will find non alcoholic and alcoholic beverages served. …",4 stars,expensive,Barbecue restaurant
Rohit Malabade,Good family place to have food.. staff is amazing and helpful and food is good taste wise,4 stars,expensive,Barbecue restaurant
Sumit Chilvante,Recently I visited here with my family. The ambience is spacious here and have large seating area. The staff here is so polite and friendly. …,5 stars,expensive,Barbecue restaurant
Mayura Jain,"Recently I visited Barbeque nation. Must say it's really amazing place to hangout with friends and family. Good ambience with good food. I had buffet there. So many varieties in buffet.its unlimited. Had a so many varieties of Starters, …",5 stars,expensive,Barbecue restaurant
Dr Bushra,Had a perfect lunch at Barbeque nation Nerul outlet . It was a great time here with our table manager dipak . They serve varieties of live Barbeque veg and non veg fully unlimited and even you can customize your own bbq according to your …,5 stars,expensive,Barbecue restaurant
UTKARSHA PATIL,"Amazing experience and great service.
Loved the live grill counter. They have outdoor seating as well. The best part is they have introduced new options in the main course now. …",5 stars,expensive,Barbecue restaurant
Sanjay K Raut,"Barbecue Nation is not the place for those on a diet, but a paradise for non-vegetarian food enthusiasts. Its business concept is impressive, though it can be a challenge to find a seat during weekends. It's a lively and fun-filled destination.",5 stars,expensive,Barbecue restaurant
Pranav Dethe,"Barbeque nation, Nerul :

If you want to have some lipsmacking barbeque food and that for unlimited then …",5 stars,expensive,Barbecue restaurant
RCD thefoodie,"Yes yes i know barbeque nation or as it is loving addressed as ""BBN"" surely does not needs any introduction when it comes to some of the most amazing dishes under one roof. …",5 stars,expensive,Barbecue restaurant
Ayesha Shaikh,"I visited first time and really enjoyed the food.... Service was excellent, staff is friendly and helpful enjoyed my birthday with my partner... Atmosphere is also very good.",5 stars,expensive,Barbecue restaurant
Prachi Ghadge,"Lovely experience. You are welcomed very nicely. They describe themselves,The system and everything. And help you in every kind. Atmosphere is lively. Quality of food is great. They make changes according to you needs. They won't give any …",4 stars,expensive,Barbecue restaurant
sanjeev harikant,This was my 5th time visit to Nerul Barbeque Nation. If you are booking via app try to search for any discount. Food is very good as well as Service.  Mr.Patil was very good. …,4 stars,expensive,Barbecue restaurant
gaurav gunjan,"A very good dining place in neighborhood.
Great hospitality, specially Mr. Rajpoot was great host.
Parking is available outside. …",5 stars,expensive,Barbecue restaurant
ΛПIKΣƬ,Everything is almost perfect here. The food is awesome and it's unlimited no complaints at all. Ambiance is superb. I was there on dry day so I missed my free beer. Every BBQ Nation I visited till now has this one flaw. They serve …,4 stars,expensive,Barbecue restaurant
Arjit Raj,"Great Food. Great Staff. Poor ventilation. Too loudy.

Good part: As usual the food and staff was great. Fresh, hygienic food, with …",3 stars,expensive,Barbecue restaurant
Gauri Jagtap,"Best place for Unlimited foods & drinks, the ambience of place was great. They have variety of options available in Starters, main course and desserts.Also they have the live grill counter. …",5 stars,expensive,Barbecue restaurant
Dipesh Pawar,"Very nice service and food, staff is very polite and helpful especially kamlakar, always ask if need anything or any customisation in food",5 stars,expensive,Barbecue restaurant
Deepak Rajput,The food was fantastic- from starters to main course to desserts... and they also offered complimentary mocktails. …,5 stars,expensive,Barbecue restaurant
Rohan Hegde,"Barbeque nation is heven for foodies
They have all cusiens under one roof food is amazing u'll love the food and they will even custamize food according to your preference which is always …",4 stars,expensive,Barbecue restaurant
D N J,Extremely bad experience. Service is very lethargic. They are more interested in serving what they want rather then what the guest orders. Specially vegetarians are taken for a ride. Food preparation is pathetic with lots of salt in …,1 star,expensive,Barbecue restaurant
Pranit Pawar,Barbeque nation is truly a gem when it comes to live grills and buffet. There pleasing service and drooling taste of spices is what makes you visit again n again. The nerul outlet is perfect for large family/friends crowd having ample …,5 stars,expensive,Barbecue restaurant
poonam patil,The atmosphere was such like everyone was celebrating there occasion everyone was hungry and many sing a song and for birthday there was a special music by barbeque nation . Deepak was friendly and was asking us food to bring we really liked it.,5 stars,expensive,Barbecue restaurant
Saket Suman,"As always Barbeque Nation never disappoints. Went early to avail early bird discounts, but by 8 pm it was full. Service was excellent, server Veer Rajput was exceptionally good in his job. All the items served on the table were too good. …",5 stars,expensive,Barbecue restaurant
Pallav Malhotra,"Best in class. Amazing place to have buffet. BBQ nation is know for its grill and kababs. Apart from that, the hidden Gem and underated thing is the dessert at this place. One must try the desserts its amazing. Great service and very humble and professional staff. Great ambiance. Great place to hangout with friends and family.",5 stars,expensive,Barbecue restaurant
Shekhar Birari,Very Very Dissatisfied & Disappointed by Staff at  Nerul & Mahape ( outlet closed)..They not allowed me for Dine in inspite of 30-40 Clients were there around 10.45 pm.Infact timing is upto 11.00 pm..Manager & his assistant not cooperative & deliberately refused my HDFC vouchers ..Send me take a way room..it was very dirty..,1 star,expensive,Barbecue restaurant
Alfred Fernandes,"Always a great place to meet with family and friends, the food is delicious and the service is excellent, make sure to come with and empty stomach as there is a lot of variety of food to taste and don’t forget the grill stay hot in the middle of the table until you had enough, try the kulfis to end the meal.",5 stars,expensive,Barbecue restaurant
jojo,"Concept of BBQ was gathering momentum with need of the time with success giving advantages to both  guests and hosts. Having  unlimited  free  selections, with variety menu,  enriching feel at home  environment according to our taste and …",4 stars,expensive,Barbecue restaurant
Dharmadas Giri,"We are regular visiting BN for dining however, we recently found that the BN in Belapur and Nerul not up to the mark. Live counters has been stopped. Food quality is also not same as earlier. They need to pay attention towards both quality and service.",3 stars,expensive,Barbecue restaurant
gopal devadiga,"Best place , good quality of food with reasonable prices and the important part is the best service provided by the staff.",5 stars,expensive,Barbecue restaurant
Vinod Vinayak Bhosale,"Awesome experience, awesome taste and lunch items. Good ambience and very much polite and best staff. any order will be served quickly.
Barbeque is the best and still waiting for ""Rara Gosht"" to appear on menu again. …",5 stars,expensive,Barbecue restaurant
DR PRATIK TANK,"I visited on my birthday. I loved it ❤️. Lots of choices. And loved it's service..I suggest everyone
Delicious veg and non veg food offered with unlimited self service. Nicely …",5 stars,expensive,Barbecue restaurant
Suhail Barmare (Xehr),"Great Place ...GREAT TASTE!!!! FOOD WAS AWESOME ....SO WAS THE FAST SERVICE......!!! WOULD REALLY LOVE TO VISIT AGAIN!
PERKS …",5 stars,expensive,Barbecue restaurant
Samah Rumani,I am very disappointed by the way bbq turned out the way it was in the past it is not up to that level too.. I was so excited to celebrate my parents anniversary but alas nor me not my parents liked it..Prawns on bbq was raw not one not two …,2 stars,expensive,Barbecue restaurant
Imran Pathan,The place is situated on the first floor. They have 2 sections indoor and outdoor. Both are nice. Good place for a get together and throwing parties. We were around 40 who visited this place and none of us had to face any issues with the …,5 stars,expensive,Barbecue restaurant
Amit Bond,"Visited on friday for family Lunch.
Barbecued starters are sumptuous delicious and unlimited. I asked for some changes the marination and it was done ✔. The manager made the chef Visit our table …",4 stars,expensive,Barbecue restaurant
Akash Gaikwad,Yesterday i visited here with my family for an occasion of my cousins birthday. This place is very good with ample seating available. Also this place is total hygiene. …,5 stars,expensive,Barbecue restaurant
Javed Dange,"Was very pleasant atmosphere, our table was been looked after efficiently ,special thanks to Mr Deepak Ingale. Keep up the good work and thanks for service.",5 stars,expensive,Barbecue restaurant
prashant pawar,"Great food, atmosphere & service by staff. Captain Lalu & staff kamlakar doing good job thanks for making my daughter birthday very special.",5 stars,expensive,Barbecue restaurant
Kimberly Pereira,Good food and ambience. And been for the fish food festival. Had a good serving of both veg and non veg as well as some amazing desserts. Good value for money.,4 stars,expensive,Barbecue restaurant
