Reviewer,Review,Rating,Expense,Type
Raghav Bhide,"Great place to have Asian food in Chembur.

Ambience is good and comfortable. …",4 stars,expensive,Chinese restaurant
Aman J,"Last night, we dined at China Bistro, where the dim and romantic ambiance set the mood. Our culinary choices included the delightful Crunchy Avocado Roll Sushi and the flavorful Chilli Garlic Noodles, both of which were outstanding. …",4 stars,expensive,Chinese restaurant
Manali Chavan,A good place if you are a fan of Chinese cuisine. All the items on their menu are just authentic. Good and prompt service by the staff. Their buffet has a wide range of options to choose from in both veg and non veg.,5 stars,expensive,Chinese restaurant
Epicure Duo,"beautiful ambience.

I ordered …",5 stars,expensive,Chinese restaurant
Alinio Mascarenhas,Nice place for go for a quiet dinner. They have valet parking so that’s not an issue. Large capacity so you’re sure to get a table. The food was really nice. Good range. Little on the pricier side but delicious and worth it. Service was …,4 stars,expensive,Chinese restaurant
Reema Mukhopadhyay,"Super yummy and healthy food. You can try anything. I have visited 5 times total as of now. My most visited restaurant. Service is a bit slow , else everything fine .. You can celebrate birthday or any occasion here . Must try Buddha's fu desert.",4 stars,expensive,Chinese restaurant
Niv Shetye,"China Bistro, located in Chembur, specializes in Asian cuisine. Our decision to try it was random, guided by Zomato reviews. Opting for the buffet at ₹950/- per head, exclusive of taxes, we were presented with an array of veg and non-veg …",3 stars,expensive,Chinese restaurant
GAURAV BHARADWAJ,"It was bad as we saw cockroaches running around where the buffet was served. Very unhygienic. Not going to this place for sure. They are charging a premium amount for food. But no hygiene kept. What if anyone fals sick after eating this food. I can only imagine what's the situation of kitchen, God knows.",1 star,expensive,Chinese restaurant
Sujata Sriram,"A great place for a group to get together and share a meal.
The buffet spread is substantial. Starters are served at the table, and the variety is such that you can fill up on soup and starters and not want to eat much …",4 stars,expensive,Chinese restaurant
Madhur Dsilva,We really enjoyed the Afternoon buffet. The straight away dive into the  seafood starters were the highlight of our   experience ..  . The kids relished it well ....total bliss. …,5 stars,expensive,Chinese restaurant
hinal madhav jadav,"Sushi is just a wow.. ,
And pad thai is also 👌
Overall great experience 😊 …",5 stars,expensive,Chinese restaurant
The Review House,"Firstly the ambience is very nice and soothing.
There is a lot of place for sitting
There are a lot of varieties in the menu. …",5 stars,expensive,Chinese restaurant
Dr.Mayuri Upmanyu,"The best place to take dates / friends for a meal.

Tasty food, good vibes, great services.. …",5 stars,expensive,Chinese restaurant
Richa Gautam,"I visited China Bistro with my family. This is a great place to enjoy Pan-Asian food. The menu is not limited to Chinese only. It covers the best of Vietnam, Singapore, Thailand, Malaysia, Indonesia, Hawaii, Japan, Korea etc. …",5 stars,expensive,Chinese restaurant
Vighnesh Joshi,"It was truly an amazing experience visiting China Bistro - Chembur, located just some distance before Telecom Factory.
I went to have dinner and we ordered Crispy Spicy Avacado Roll, South Asian …",4 stars,expensive,Chinese restaurant
Prachi Shah,Considering the 4.2 star rating we visited. They didn’t know how to make a sangria. The first round had almost nil wine. The second round which came after 15 min one had ice in it one was room temperature. When reported to the server he …,1 star,expensive,Chinese restaurant
