Reviewer,Review,Rating,Expense,Type
Arzan Dumasia,"I recently enjoyed dining at Singh Saab, a restaurant known for its diverse Indian and Thai cuisine. Overall, the experience was a mix of highs and lows, resulting in a somewhat satisfying meal. …",4 stars,moderate,Punjabi restaurant
Shivraj Patil,"Singh Saab is undoubtedly one of the best restaurants in Chembur for authentic North Indian cuisine. The quality of food is exceptional, with their Punjabi dishes, particularly the non-vegetarian options like chicken, standing out. What …",4 stars,moderate,Punjabi restaurant
Kunal Patil,"Best Punjabi restaurant around chembur that serves non-veg food with Drinks.
Recommended for family & friends party.  Don't miss Chicken Talwar dish.",5 stars,moderate,Punjabi restaurant
Pallavi Parab,One of our tried and tested restaurants with guarantee to good food and service. We tried Mushroom Tandoori Multani and Amritsari chole kulche this time and taste was good as usual. The overall ambience is nice for a dinner with family and …,5 stars,moderate,Punjabi restaurant
kshitija shahane,The food here is a bit expensive. But the taste is very good. We had ordered burnt garlic chicken and chicken manchow soup home delivery. One of the best starters. Chicken was juicy and fresh.  12 pieces so quantity is also good. Manchow …,5 stars,moderate,Punjabi restaurant
Ankush shinde,"Singh saab
This is Chembur, if you are a lover of North Indian food and Asian, you must visit this place.  The best part is the special food names and presentations!  He …",5 stars,moderate,Punjabi restaurant
Sagar Ledwani,"Another jewel in Chembur area , decided to try this place. Although the place looks smaller from outside , it is quite spacious inside. The wooden interiors and air freshness are noteworthy things that you can't miss. I ordered Paner Butter …",4 stars,moderate,Punjabi restaurant
Food Tales With Shilpa,Robust asli punjabi food with some signature non vegetarian dishes,4 stars,moderate,Punjabi restaurant
vinayak das,We tried veg here for now and the veg food was Amazing....There are lot of non veg option and it's a heaven for non vegetarian people,4 stars,moderate,Punjabi restaurant
Deepak Kumar (Elitedkumar),Singh Saab is fun place to hang on with family and friends. Came here this weekend to have lunch and some cocktails to enjoy 😊 the food was good and ambiance was fun so was the service. I didn’t find much space and ambiance due to noise of …,3 stars,moderate,Punjabi restaurant
Srishti Kadam,A place which we have frequented plenty of times now and the quality and yumminess of the food has stayed the same. Their menu largely consists of North Indian & Chinese cuisines. The staff here is very polite and the service is really …,5 stars,moderate,Punjabi restaurant
Omkar Verma (ShotsbyOmkar),"Singh Saab
A decent family dining restaurant with comfortable sitting area inside and out serves delicious food with a Punjabi Tadka😍 …",5 stars,moderate,Punjabi restaurant
Food Hunt,"Hello folks,
i recently visited Singh Shaab  and it was dam wonderful experience.
This place is best for punjabi food lover and have large option of menu in veg …",5 stars,moderate,Punjabi restaurant
Divya Boban,"The best restaurant i had visited in Chembur, the food here is totally awesome and moving on to ambience and service its a total 5/5 rating the friendly service, totally amazed! …",5 stars,moderate,Punjabi restaurant
Dipesh Palkar,"Singh Saab📍
We visited this place few days back which is located in chembur they have both indoor and outdoor seating available and ambience of this restaurant is decent …",5 stars,moderate,Punjabi restaurant
Sandra Castellino,"Quantity & quality of food is the best. Also the texture of the gravy is nice and thick, and the spices used for each dish is having a taste Punjab. Overall a best place in chembur for dinner anytime with friends or family. 👌👍. …",4 stars,moderate,Punjabi restaurant
Mango Man,My rating for this place is purely for its food .Its a 5 on 5 .everything that we ordered was wow .Starting from the starters chicken tikka and an zaffarine gulistan. The chutney served with this was also superb .In the main course we …,4 stars,moderate,Punjabi restaurant
Shashank Jathan,"We visited the restaurant last week.

The restaurant AC was very inefficient. It hardly had cooling and by the time we …",2 stars,moderate,Punjabi restaurant
Shreyas Das,"We had ordered some starters and main course. Out of all, the Reshmi tikka and Dal makhani was terrible. The tikka was not marinated and was bland and even lacked adequate salt. The dal makhani was the worst dal makhani we ever ate. The …",1 star,moderate,Punjabi restaurant
Vivek Dhadha,"Nice place. Got some good food. Area is kind of crowded. But the ambiance of this restaurant is nice
Singh Sahab was one place which we had planned to visit for a long time but …",5 stars,moderate,Punjabi restaurant
Apeksha Morajkar,If you are a non veg lover you should try this place at least once. The food is great and worth the wait. The portions for starters are small for a group of people eating so I would suggest order at least 2 or more starters at one go …,4 stars,moderate,Punjabi restaurant
Jinesh Nair,"Amazing place this! If you ever want to have the most tender chicken in Chembur then this is the place to go. The food quality is just amazing. Can't remember this chicken on sword dish but it tasted amazing. Also check out the biryani,especially the chicken, the aroma is just yum! Definitely going back again here",5 stars,moderate,Punjabi restaurant
