Reviewer,Review,Rating,Expense,Type
FOODIE-STANI,"Korean, Japanese, Chinese, Tibetan, Burmese, Thai , Singaporean , Indonesian and Malaysian cuisine at it’s best , with no permitted colors added . Authentic Pan Asian food at very affordable prices will have a jaw dropping impact on you. The executive Chef in Wok Hei has worked Internationally and trained with Chefs from Hong Kong.",5 stars,moderate,Chinese restaurant
Dipesh Gharat,"Visited for the very first time in Work Hei
The staff is very helpful and they recommend amazing dishes for vegetarians and non-vegetarians. …",5 stars,moderate,Chinese restaurant
Chirag Warty,"A Flavorful Journey at Wok Hei, Chembur. My dining experience at Wok Hei in Chembur was an enjoyable one. This Chinese restaurant offers a delightful culinary journey with its authentic flavors and contemporary ambiance. …",4 stars,moderate,Chinese restaurant
Rohit W,"Chinese is definitely delicious. Each dish is unique so it may differ from person to person whether they'll like it or not. We tried Shanghai flat noodles, but the chef messed up on the order. Mocktails are okay, but they added too much sugar. Rest is fine",4 stars,moderate,Chinese restaurant
Rounak Jadhav,Food was delicious. Had some Prawns Thai Pot Rice and Chicken Crispy. The prawns tasted so so good. Also the Mongolian Soup was amazing. Definitely a must try. …,5 stars,moderate,Chinese restaurant
Shivraj Patil,"I had the pleasure of dining at Wok Hei in Chembur, and I must say, it is a fantastic place for anyone craving Chinese and Asian cuisine. The restaurant offers a wide variety of dishes that will satisfy even the most discerning taste buds. …",4 stars,moderate,Chinese restaurant
N P,"The food was better than the typical fare available elsewhere, but not all the way authentic. The ingredients used were as advertised (which doesn't really happen everywhere), but the cooking was just about ok. In all fairness, it is really …",3 stars,moderate,Chinese restaurant
Tanaya Donde,"I have tried veg Schezwan noodles, paneer chilly dry and Thai chilli basil chicken I don't like the test n the food is to much oily.waste of money.",1 star,moderate,Chinese restaurant
Sanghamitra Ghosh,"I have been going to this place for many years now. The basil chicken is my favourite thing to eat here. Their curries and bamboo rice are also pretty good. If you’re looking for a different mocktail, I enjoyed the designer fuel quite a bit.",5 stars,moderate,Chinese restaurant
Vipul P,"Wok hei is at Diamond garden, Chembur.
If you love authentic Chinese food then you must visit this place.
They also have good offers between 12 pm to 7 pm. …",4 stars,moderate,Chinese restaurant
B.Narayanaswamy Subramani,"A good place to dine with family members & guests.

Food is delicious. …",4 stars,moderate,Chinese restaurant
Vedant Raut (Vedanta),"Wok Hei,  Chembur

Wok Hei is the ultimate destination for the Chinese lover in you.  Every dish on …",5 stars,moderate,Chinese restaurant
Divya Bhore,"It's serves the Best Chinese food in Chembur.
Prices too are very reasonable.
They give brilliant offers. …",5 stars,moderate,Chinese restaurant
