Reviewer,Review,Rating,Expense,Type
Sachidanand Vishwakarma,"As like the name casual its asusual all time best food and best service they provide to thier custpmers.
For the dessert we went for sizzling brownie and that was just a cherry on the ï¿½",4 stars,low,fastfood
sunita ghorai,New place alert! I went to this place recently and I was amazed not by the service only but also by the taste and quality of food that they provided to us. This place is near to Nerul station so it wasnï¿½ï¿½ï¿½t much difficult to get her,5 stars,low,fastfood
Pranit Pawar,"Newly opened restaurant exactly opposite to Nerul railway station with ample amount of seatings and wide range of mughlai and Chinese dishes.
What we ordered - ï¿½",5 stars,low,fastfood
sanket shinde,I recently went to this outlet and its located nearby nerul station. I was really impressed by the ambience and loved the food quality oer here. I went with one of my friend and we had ordered assorted tikka and pattaya prawns out of which ï¿½,5 stars,low,fastfood
Aarti Bhatia,"My family had already ordered food thrice and we just loved it, their Thai curry and Chinese is a must try. Chicken lollypop are also really very good. Excellent customer serviceï¿½ï¿½ï¿",5 stars,low,fastfood
Mandar Gharat,"Authentic tasty food, with very good quality. Nice ambience. Good cooperative staff and nice service. Will recommend for dine-in as well as for order/take away. Must try..ï¿½ï¿½ï¿",5 stars,low,fastfood
Rahul pawar,"Best service, staff is also very polite and friendly. And taste of food is awsomï¿½ï¿½ï¿½ï¿½ï¿½ï",5 stars,low,fastfood
Pruthvi Raj Pailo c.s68172,Very nice service and food,5 stars,low,fastfood
Amol Chavan,It's god to dine,4 stars,low,fastfood
Madhuri Gawli,The food was very good ï¿½ï¿½ï¿½ï¿½.. .and appreciate the ser,5 stars,low,fastfood
mahesh Zende,Okay ï¿½ï¿½ï¿,5 stars,low,fastfood
siddharth poojary,Red thai chicken is my fav ...,5 stars,low,fastfood
Rakesh Marvy,Super taste,5 stars,low,fastfood
Sarath Ronaldo,Good service,5 stars,low,fastfood
sejal sankpal,taste was amazing must visit,5 stars,low,fastfood
sarath arnoldo,Good service,5 stars,low,fastfood
Pravin S.,Nice food,4 stars,low,fastfood
Sachin Vedpathak,Like it,4 stars,low,fastfood
Rizwan Ahmad Noori,Nice,5 stars,low,fastfood
