Reviewer,Review,Rating,Recommended dishes,sentiment
Ramesh Parmar,"Arabian Chillies Located On Shree Jagatguru Aadi Shankaracharya Marg In Sec 23 Nerul Is Restaurant With Royal Mughal Ambience With Shamiana (Tent), General & Private Seatings.
.
They Are Specialised In North Indian, Chinese & Mughlai Nonveg Cuisine & Are Also Famous For Their Catering & Take Aways.
.
Their Menu Is Extensive. It Includes Varieties Of Veg & Non Veg Mughlai, Arabic, Oriental Thaals, Soups, Kapsa Rice, Raan Specialities, Kebab, Mutton Tandoor, Tandoor Murgh, Seafood, Veg n Nonveg Gravies, Assorted Indian Breads, Variety Of Biryanis n Rice, Starters, Gravies & Desserts.
.
We Tried Their
1. Oriental Mix Thal - Tasty & Filling
2. Reshmi Kebab - Chessy & Mouth Melting
3. Chicken 65 - Authentic Tasting
4. Chicken Cream Tikka - Succulent
5. Gulabi Kebab - We Have Seen This For The First Time
6. Chicken Patiala - With Red & Green Gravies That Went Well With Ajwaini & Pudina Lachha Paratha.
.
Everything We Tried Was Fresh, Tasty n Flavourful, Made With High Quality Ingredients - Well Balanced n Authentic Tasting. It Is A Sure Shot Food Heaven For Nonveg Food Lovers...
.
Ambience - 5/5
Service - 5/5
Taste - 5/5
Price - Pocket Friendly
Concept - 5/5",5,,1
Shashant Vishwakarma (RogersSV),"Best tandoori platter ever tried. We have ordered tandoori mix platter for Rs.1800 which has approx 32-35 pieces of chicken with different varieties like tandoori chicken, chicken seekh kebab, Chicken Tikka, Chicken malai tikka etc. This dish can serve approx 5-6 people.",5,"Chicken Tandoori, Tandoori",1
prince singh,Great experience and non veg was good. The place is not good for vegetarians even though the options are less.,5,Murgh Musallam,1
Imran Mirza,"We ordered crispy bangkok, mutton chilli, chicken lollipop, chicken hyderabadi biryani and a drink named Saudi Champagne. Beleive me all are over priced. We liked only crispy bangkok. This place is overhyped. Think twice before you visit.",2,,0
Abhishek Deshmukh,Nice food the taste was amazing and there was no rush in afternoon hrs ������ the service was also totally nice ���� but the roti we have order was butter roti and they have served different roti we have asked this is not butter roti but the staff have told this is butter roti only but on roti there was no butter so i don't think it was butter roti over all other food,4,"Chicken Biryani, Chicken Tandoori, Chicken Crispy",1
rakesh thakur,"Amazing Food and atmosphere.
Loved Chicken Lebanese  and especially Raan thal",5,,1
Vikas Nambiar,The food was tasty. The service was fast. Especially the service provided by Mr. Jamal who had a pleasant smiling face throughout while serving. Impressed by his service attitude.,4,,1
Amaan Khan,"The food was delicious.
Crispy Bangkok was good.
Mutton chilli was amazing.
Chillies sizzler's chicken steak was juicy and really good, but the sizzler's noodles and rice were tasteless. Also we found an insect from the lettuce of the sizzler. But the staff was supportive and accepted the mistake and also waived the sizzler's price from the bill.
We eagerly wanted to try the prawns dish, but unfortunately it was not available.
Sweet lime juice was good.
Shezwan chutney was too runny, could have been thicker.
Overall the atmosphere was good.

Vegetarian options: Good options

Dietary restrictions: Nothing much

Wheelchair accessibility: Seemed difficult",3,,0
junaid khan,"I just loved the Lebanese grilled chicken khabsa, bohat hi zabardast dish
First time I felt like eating authentic Lebanese dishes
Tried once and now I'm addicted to this place",5,"Shawarma Platter, Chicken Shawarma, Chicken Steak, Chicken Afghani, Murgh Musallam, Tandoori, Butter Naan",1
Heena Memon,"Nice place to be here fantastic food with a nice atmosphere

Service was at par but the staff are really polite.

I tasted  crispy,veg navratna Non veg- chicken achari kabab,lahori chicken ,etc
Must visit",5,"Chicken Biryani, Shawarma Platter",1
