Reviewer,Review,Rating,Expense,Type
Ruby Dsouza,The place has an awesome vibe with indoor and outdoor seating. It's well light and the music is absolutely at the right decible which allows people enjoy conversations as well the music at the same time. However I visited the venue on a …,4 stars,expensive,Italian restaurant
Ashvini Swamy (blugeni),"Food was awesome quality, quantity & presentation wise. Drinks are economical but the bartender is a bit stingy with the pour; that being said, we were given complimentary shots. Only complaint, they need a better sound system for the music.",5 stars,expensive,Italian restaurant
Neha Nimje,"I frequent Mia cucina because of the wide variety of dishes they very carefully curate. My personal favorites are fried fish meals, homemade pastas, and the choose 3 combos of appetizers that go perfectly well with the yummy cocktails they …",5 stars,expensive,Italian restaurant
prabandh gosavi,"I had a decent experience here in this restaurant which serves authentic Italian food along with some great wine. I had ordered an appetizer, one lasagna, one pizza along with some good wine. I really loved the chicken appetizer, it was …",4 stars,expensive,Italian restaurant
Rajesh Bijalwan,"Mia Cucina in Powai is a great Italian restaurant with a relaxed, brick-lined trattoria atmosphere. I've had the pleasure of dining there, and I've been impressed with the food and service. …",5 stars,expensive,Italian restaurant
Saurabh Kalokhe,"Food is good.
Pesto sauce was fresh, authentic and very well made.. Tiramisu could have been better. Bruschetta was okayish. Try the grilled prawns.",3 stars,expensive,Italian restaurant
Anant Maheshwari,"Amazing cocktails, staff is very polite and helpful, because one of my ordered couldn’t be serviced he fixed and amazing dessert for me on the house.
Must Try Dish will pizzeta and caramel cheesecake.",5 stars,expensive,Italian restaurant
sachet patil,"Second visit here. Overall experience was just as good as the first.

We tried saffron seafood soup which was amazing. The pizzata was good and so was …",5 stars,expensive,Italian restaurant
ROVR 91,"we went for a la carte Sunday Brunch for our anniversary. Food was very good especially the Mushroom Risotto (would have liked more portobello inside though!😬). Also the Chocolate Danish was freshly baked to perfection. And yes, the gnocchi …",5 stars,expensive,Italian restaurant
Kshitij Ramrakhiani,"""Jo dikhta hai zaruri nahi ki woh acha hai."" After keeping my hopes and reading so many good reviews, I finally decided to go to this ""Italian"" restaurant. You would wish that giving an Italian name to dish would make it more authentic but …",2 stars,expensive,Italian restaurant
