Reviewer,Review,Rating,Expense,Type
Sumit Lalwani,"I visited this last weekend in the afternoon and they have a beautiful rooftop with a sea view and comfortable indoor seating as well.
The ambience was beautiful and the menu covered a variety of cuisine. …",5 stars,expensive,Restaurant
19 Akansha G,"So I recent visited this place, it has a very beautiful rooftop ambience.
The food here was very tasty
I tried - …",5 stars,expensive,Restaurant
Epicure Duo,This is a must visit place to experience sky view dining. The ambience is very beautiful. Try to visit for dinner you will enjoy the view. The men is extensive and has many cuisines. The food is fresh and presentation is spot on. Perfect for date and hang out with friends.,5 stars,expensive,Restaurant
Vinay Pasi,"I recently visited this place and I had a great time. It's a amazing sky lounge with live screening, energetic vibe of djs. This place is amazing for parties and all. The seating is varied and quite comfortable while the service quick and …",5 stars,expensive,Restaurant
Randeep Gujral,Amazing food. Must say as soon as we entered the ambiance is amazing and mesmerising. …,5 stars,expensive,Restaurant
Jigisha Padia,"their asparagus tempura sushi and Mexican pizza are a must try ! we also tried kalakhatta mocktail, atrangii sunset, veg kurkure (2/5), and Brownie with icecream. the sky lounge Ambiance is magnificent. you can also enjoy live music, dj, …",5 stars,expensive,Restaurant
AHTESHAAM HUBLIKAR,"Welcome to Attrangi House Sky Lounge Location:- Sanpada Palm Beach Road,
We Had a best 👌option for the evening to dine at fantabulous place called Attrangi House Sky Lounge , I really had a wonderful experience to share wit you all , …",5 stars,expensive,Restaurant
curvy fairy,"Recently came across this beautiful place in Sanpada Navi Mumbai.
This place has ample amount of space indoor and outdoor sittings with beautiful scenic view and friendly staff. …",5 stars,expensive,Restaurant
Sakshi Sneh,"Atrangi House is an amazing rooftop restaurant.
It has a beautiful ambiance and great vibes such as great place for dinner's and brunch. …",5 stars,expensive,Restaurant
Mamta Jain,"THE ATRANGII House Sky Lounge located at Palm Beach Road, Sanpada is an amazing roof top restaurant. The place has a vibrant ambience and will energise you as soon as you enter. …",5 stars,expensive,Restaurant
Viren Khanna,"This rooftop in Navi mumbai has to be one of the best we’ve been to recently. A perfect sundowner place, which offers a brilliant view of the palm beach road.
They have both indoor & outdoor seating available. …",5 stars,expensive,Restaurant
Pooja Agrawal,"The Atrangi House Sky Lounge is a beautiful rooftop restaurant with soothing breezy vibes. This place overlooks the palm beach road & also the creek, perfect to visit in the evenings to enjoy watching the sun set. Staff is polite, music was …",5 stars,expensive,Restaurant
Ayush Jaiswal,"My recent visit to Atrangi Sky Lounge in Sanpada, Navi Mumbai, was an absolute delight! The ambiance was as captivating as the skyline views, creating the perfect setting for a memorable evening. …",5 stars,expensive,Restaurant
viresh kumbhavdekar,"I have been to this place twice, the first experience was dud but then thought of taking one chance. I had Harissa Paneer, Burnt Paneer tikka, Mexican pizza, veg Farmhouse pizza, Dal makhani, Paneer tikka masala with roti. Food was …",1 star,expensive,Restaurant
Rahul Ghadge,"Atrangi Sky Lounge in Vashi, Navi Mumbai, offers a complete dining experience with both indoor and outdoor seating. The one plus one offer on drinks adds excellent value to your visit. Live music enhances the ambiance, making it perfect for …",5 stars,expensive,Restaurant
Arunima Ratan,"To this beautiful Sky Lounge 🥂
The ambience is so beautiful, as it is a sky lounge and on palm beach road, it is open to the scenic view of palm beach road and the the whole of Navi Mumbai . …",5 stars,expensive,Restaurant
Amol Tarwade,"If you are asian , sushi food lover then you should visit at this restaurant, then you will get amazing experience. The atrangi house sky lounge located in sanpada which was awesome restaurant. …",5 stars,expensive,Restaurant
Nitesh Mhatre,The place is average atmosphere is good but food quality it chill pill and most importantly i have made online booking but after book also we have wait 25 minutes so what is the use of book i don’t know,3 stars,expensive,Restaurant
