Reviewer,Review,Rating,Expense,Type
amey gazinkar,"Nice place for tasty south indian food.
Service is quick. Small place near Balaji temple.",5 stars,moderate,Vegetarian restaurant
real India,"Great place to taste flavours of South Indian food .
Excellent food quality",4 stars,moderate,Vegetarian restaurant
Padmashree M.,"The cafe is close to Balaji temple. Best to go for breakfast, reasonable rate. Medu vada served with 2 chutneys and sambhar. One was coconut another one tomato chutney. Don't miss authentic south Indian filter coffee. Ambience is small but neat and clean.",3 stars,moderate,Vegetarian restaurant
Prabal Pandey,"Had expected hot crispy vadas but it was soggy at 11am. Chutney is good. Sambar can be improved.
Coffee wasn’t upto the mark. Very milky and light even after mentioning it to be …",2 stars,moderate,Vegetarian restaurant
SONAL MALI,Really delicious food with a homely feel! Comfort food that made our tummies full and hearts fuller!,5 stars,moderate,Vegetarian restaurant
Satheesh PK,If you are visiting Balaji Temple in Nerul Mumbai then you must take a break at Shree Nerul Cafe to enjoy authentic south Indian filter coffee and foods. You will get a homely experience. Its managed by senior citizen and they take almost care about you.,5 stars,moderate,Vegetarian restaurant
rishi ranjan,We had visited the cafe on Saturday. They offer the south Indian meal on Banana leaf on Saturdays. It was soul food and nice experience. The manager was very helpful. The filter coffee was refreshing.,5 stars,moderate,Vegetarian restaurant
Nirbhay Singh,"Nice restaurant with tasty food at cheap rates. Staff worker are very nice. As per your taste they may change ingredients of food.
Budget saving place to eat.",3 stars,moderate,Vegetarian restaurant
Sandeep Shringare,"Tasty , neat and clean food served on banana leaves.
Laddus , bundi and rawa also tasty.
God bless the owners and staff. …",5 stars,moderate,Vegetarian restaurant
Parth Sethia,"Amazing food, great warm people... Should go late at night, especially on a winter night. The filter coffee is heavenly.",5 stars,moderate,Vegetarian restaurant
Arun Mohan Nadar,Best filter coffee in Navi Mumbai. The owners are sweet and a nice conversation is an added bonus.,5 stars,moderate,Vegetarian restaurant
robert john dsouza,"Traditional filter coffee.
Breakfast and other items Excellent!!! …",5 stars,moderate,Vegetarian restaurant
venkatesh iyer,"Best place for authentic south Indian food, filter coffee, there  highlight  is sambhar and chutney with different dishes at an affordable price. Since situated nearby  Nerul balaji temple so after darshan must visit place.",5 stars,moderate,Vegetarian restaurant
Kamleshwar Kodag,It's really good place for homely n tasty n healthy breakfast n lunch. Saturday and Sunday it's although very special for pure South Indian breakfast and lunch,5 stars,moderate,Vegetarian restaurant
T. S. Ramachandran,"100% veg Tamilian food in a quite remote location though it's a steep 10 mins climb from Nerul station West.
Lunch is decent though a bit high priced for the quantity offered. …",4 stars,moderate,Vegetarian restaurant
Bhagyashree Kelkar,This is a great place with delicious South Indian food located in a calm place. We usually have breakfast after our morning walks on weekends. Great place if you are a fan of South Indian food. …,4 stars,moderate,Vegetarian restaurant
Rahul Thakur,"Humble, happy place serving delicious south Indian delicacies at such affordable prices.
After visiting Balaji Temple, perfect place to satisfy your taste buds. Ordered …",5 stars,moderate,Vegetarian restaurant
jeevan yadav,I have been visiting this place since last 10 years. I find divine in the food quality. Best place for South Indian dishes.,5 stars,moderate,Vegetarian restaurant
Akshay Esai,"I ordered Medu wada , Onion uttapam and a chai , The wada is good with sambar and chutney if you get fresh, Onion uttapam had more tomatoes than onions still it was not that bad , final the chai was very strong with less milk Which tasted …",4 stars,moderate,Vegetarian restaurant
Pranjal Mishra,"Awesome taste of South Indian food I had in ages. Masala dosa, filter coffee, idli Vada, paratha korma all were equally good.",5 stars,moderate,Vegetarian restaurant
Nilesh Jadhav,"The place for most authentic South Indian food near Balaji Temple at Bramhgiri Road, Nerul West. We always have typical South Indian filter coffee.",5 stars,moderate,Vegetarian restaurant
Arnold Thomas,"I live this place for its fliter coffee. It's a nice corner where you can just sit rown and grab a smooth and rich filter coffee.
They serve snacks and other food items. …",5 stars,moderate,Vegetarian restaurant
PNS Sundaram,"Good place for trying authentic South Indian dishes. Good taste, a bit of spicy preparation for kids. They also undertake party orders. Road in front this cafe is narrow for four wheeler parking.",3 stars,moderate,Vegetarian restaurant
abhishek singh,"Perfect hang out for me. The owner is kind, makes sure that we are comfortable, courteous.
Food is nice. Must try is 'filter coffee'.
Always felt peaceful eating here.",5 stars,moderate,Vegetarian restaurant
Piyush Parmar,"I eat here regularly
Breakfast is good
Must try south Indian stuff …",3 stars,moderate,Vegetarian restaurant
