Reviewer,Review,Rating,Expense,Type
Megha N Juneja,"The ambiance is great. Chembur was always  missing such a restaurant. The food is delicious and well made. The meat is well cooked, and the quantity of dishes is good. The service is quick and the staff is friendly.",4 stars,expensive,chinese
Pragati Dhanavade,Good location..great place for party with group of friends...very tasty cuisines...we were surprised by awesome taste of 10-12 items we ordered,3 stars,expensive,chinese
1TeaspoonLove,Shy is a super pretty cafe at the cubic mall. Absolutely adore the interiors here especially the small library they have created with a seating area. ï,4 stars,expensive,chinese
Pooja Khona,A perfect place  to have a delicious Dinner ... would recommend this place to anyone 5 times. ï,5 stars,expensive,chinese
Gaurav Mehta,"A delightful dining experience.

Pros: ï",5 stars,expensive,chinese
Bharat Jayaram,Well done place with friendly staff. Good ambience and location. Good food. Worth a meal.,4 stars,expensive,chinese
Dr. Shruti Singh,"I usually refrain from writing negative reviews but today I had the worst meal ever and it must be brought to notice.
Shy has all the glamour of its sister restaurants started by the same ï",1 star,expensive,chinese
Nidhi,Absolutely amazing! The place is beautiful and staff are super friendly and the food is delicious. I highly recommend this place.,5 stars,expensive,chinese
Nirav Gangar,"Visited this new cafe in town. Amazing interiors! Loved the vibe of the whole place! Went on a Saturday evening and the music playing was also good.
Did not order a lot of food. Below are the food items we ate - ï",4 stars,expensive,chinese
Dr. Devanshu gupta,"Very good designed cafe. Much more appreciated when less occupied. Very tasty food and ambience. Best time to visit is during late afternoon.
More of a dating place. All kind crowd available",5 stars,expensive,chinese
Sumita Banerji,Loved the vibe of the restaurant. Superb balance of uplifting and serene. I wish they would make their Chinese food section more interesting. Otherwise I would have given five star.,4 stars,expensive,chinese
Umang Bheda,"Cozy place , great ambience and service
10/10 would recommend trying
The mocktails  are good.
Overall good food",5 stars,expensive,chinese
Vidhi Sangoi,The interior is aesthetic and the ambience is so vibrant and eye catching. Loved the food and the service also. Definitely worth a visit!,5 stars,expensive,chinese
Devika Bharadwaj,"Shy has a great ambience and is quite spacious.
Food and drinks: Good variety, great coffee, good pasta, Shy truffle pizza was amazing. Well priced for the quality. ï",4 stars,expensive,chinese
Darshi Vichhivora,A cute and beautifully decorated place. Felt like home. Very calm and comforting ..! Amazing desserts..! And decent and good food.. Definitely a thumbs up to this place..!,4 stars,expensive,chinese
Priya Siddharth,"The ambience is excellent.  Valet pariing was mentioned, but there was no such service.",4 stars,expensive,chinese
Sandip Vazirani,"Easily the most good looking places in Chembur. Food and drinks are okay, nothing great to be honest. But very amazing ambience.",4 stars,expensive,chinese
Pradyumna bapat,"I recently dined at Shy, and I was thoroughly impressed by the restaurant's serene and elegant ambience. The soft lighting and tasteful decor created a calming atmosphere, perfect for a relaxing evening out. ï",5 stars,expensive,chinese
Harshika Dedhia,"Mumbai's Newest Vintage Cocktail bar and kitchen having one of the classy Ambiance and delicious food with handcrafted Cocktails. I showed up for lunch here and had some cocktails along with my favourite Edamame Truffle dimsum, Burrata ï",5 stars,expensive,chinese
Aarti S,"Ambience is on point! We visited early evening (5pm) so it was reasonably quiet with decent music and volume. The pastel furnishing and a variety of seating including bar, regular table and chair and swings were quite attractive as one ï",4 stars,expensive,chinese
Falguni Nishi,A perfect place for dineout..the vibe is amazing..the food is also too good. This place is very well designed and has different varieties of food.. A must visit place !!,5 stars,expensive,chinese
Malathi i,The ambience is nice and inviting. However the music is too loud - despite requesting for it to be reduced multiple times nothing happened. Food is unique but zero flavour and average in taste. The waiters are anything but pleasant. Definitely not worth visiting a second time.,2 stars,expensive,chinese
Diljeet Tejnani,"Beautiful ambience, concept & amazing food. However, the staff was in general very rude and in a lot of hurry for serving as well as making us pay our bill. They brought us our dessert while half way through our main course which personally wasnï¿½t a good experienc",4 stars,expensive,chinese
Ronak Kamtam,"The food was amazing and the ambience was even better
Very nice place to chill and have food",5 stars,expensive,chinese
reshma mohideen,Super food..music was a bit loud..the chicken momos were to die for...,5 stars,expensive,chinese
vani r,"reasonable prices, good food and cozy environment",5 stars,expensive,chinese
pratima mavlankar,"Amazing food, friendly staff and a great ambience.
Peri Peri prawns were tasty but not worth the price. Six pieces of prawns for 650 was quite expensive. Taste was great though!
Peri Peri Grilled Chicken was exceptional!",5 stars,expensive,chinese
Vikrant Pareek,Amazing looking place with good food to go. The Baklava Cheese cake is a must have.,5 stars,expensive,chinese
