Reviewer,Review,Rating,Expense,Type
Banjaaraa Couple,For vegetarians- this place is the best. Food was good at this one. Famous chapati is as usual great here …,3 stars,expensive,Vegetarian restaurant
Dr Parth Mehta,"Best place for authentic home like Indian food!! We ordered papad choori, ghee phulka with veg handi and kaju paneer. Their phulkas are very soft. We also ordered Chaas. It was thick in consistency. Must go place for authentic Indian home like food.",5 stars,expensive,Vegetarian restaurant
Monit Gupta,"Very good food, had the paneer kadhai and dal lasooni and it was really tasty. The atmosphere is good as well, nothing too special, the staff is accommodating, responsive and polite. The taste is very different from every generic restaurant, will definitely be coming back.",5 stars,expensive,Vegetarian restaurant
Subramanya shastry,"The thali place is navi mumbai, the place has a legacy. The thali was sumptuous. Chapatis with ghee was perfect and paneer sabzi was tasty.",4 stars,expensive,Vegetarian restaurant
Adarsh Kedari,Very good food and service here. One must enjoy it if you are in Vashi.,5 stars,expensive,Vegetarian restaurant
Nitin Walhe,"First time I visited Bhagat tarachand (original)at - Vashi.

In vashi their are 2 Bhagat tarachand restaurant , I usually visit the other one …",4 stars,expensive,Vegetarian restaurant
Sandy Shetty,Dis restaurant servers one of d best quality food you can get . All items served were super tasty and delicious. Service is super quick too,4 stars,expensive,Vegetarian restaurant
Amrisha Vishal,"Polite servers, and treat to taste buds waale golgappe. But star of the show was gulab jamun and rabri.",5 stars,expensive,Vegetarian restaurant
Rajesh Bakshi,"it's a typical ulhasnagar style *SINDHI FOOD* Restaurent.
Non Ac. dinning rooms are just like any other economy restaurents, rates are controlled, quantity is restricted that only one person can enjoy one plate of any …",1 star,expensive,Vegetarian restaurant
Suchitra Chari,"The thali here is so wholesome, simple spices and tangy flavors. Absolutely loved their Special Thali. Definitely don't miss out on their sweets!",5 stars,expensive,Vegetarian restaurant
Animish Mandrekar,"The ghee roti in the special thali was half cooked. The dal was only good. It was not a great experience as I had in past in South Mumbai, the real Bhagat Tarachand. This is just name sake ORIGINAL.",2 stars,expensive,Vegetarian restaurant
Manav Jain,When In Vashi  must visit Bhagat Tarachand Hotel. It's Special Thali & Beer Bottle ( actually it's chaas😅) is mind blowing 🥵 …,5 stars,expensive,Vegetarian restaurant
Suraj Nair,Its an absolute heaven for vegetaraian food lovers. The place is mostly crowded so parking is very hectic in the area. The special thali os a must try in this place. Also if you are ordering a dal there is no need for any side dish such as roti or rice you can simply have it alone.,5 stars,expensive,Vegetarian restaurant
Kshitiz Gupta,We had opted for Special Thali which was tasty for 280rs. The buttermilk bottle which makes 4 glasses is thick and tasty for 125rs. The chapati are soft and filled with ghee. Overall a good experience. You can opt for this when going from Mumbai to Pune.,5 stars,expensive,Vegetarian restaurant
Prabhav Pathak,"Coming here since 20+ years, authentic and lip smacking food. Arguably the best thali and pure veg restaurant in Navi Mumbai. The Original Bhagat Tarachand where the taste hasn't changed since it has started.",5 stars,expensive,Vegetarian restaurant
Madhushri S Jadhav,"For all veggie lovers
Amazing menu
Every dish has a nice presentation and good taste …",5 stars,expensive,Vegetarian restaurant
Kishore Bhatia,"Hygiene not maintained on the tables. Management wants table turnover rather than serving clients to their satisfaction.  It's baitho, order Karo, Khao aur jao. Salt & Pepper dispensers are dirty from previous customers use. YUCK🤮 …",2 stars,expensive,Vegetarian restaurant
theunbiasedopinions,"I ordered Dal Khichdi from Swiggy. I called the restaurant to ask them to make it as per my requirements. No one answered the phone. Also, Dal Khichdi I received did not have Raita or papad or salad with it. Else I can understand, but …",2 stars,expensive,Vegetarian restaurant
Mrugesh Samel,This is a branch of famous Bhagat Tarachand from Jhaveri Bazaar. Been here in Vashi for some time now and it has always maintained high standards. Been here numerous times and never ever had a bad experience with even a single dish. Today …,5 stars,expensive,Vegetarian restaurant
Dr Jimit Patrawala,"The Food is good...
Wish they were a bit more better managed...
But a must go place whenever you are visiting Mumbai... …",5 stars,expensive,Vegetarian restaurant
Soma Mahato,"We went to this place while coming back to the city after long drive looking for some Jain food.
Nice place but they had lighted some fragrant stick which gave me a headache. We …",3 stars,expensive,Vegetarian restaurant
Kevin Kantariya,Bhagat Tarachand Since 1895 This Line It self Gives Idea About Service And Food Quality in Mumbai & Special In Navi Mumbai. So Many Branches Available in Navi Mumbai But Originally It's Location is in Vashi And A Place Is like Grand Palace. …,5 stars,expensive,Vegetarian restaurant
Jui ly,So I  am visiting this place since years and love it to bits.They serve one of the best thali and their dal tasks is out of the world. They have separate Act and Non Ac sections and it is huge. A best place to visit If you love Indian food. …,5 stars,expensive,Vegetarian restaurant
Manoj Nair,Tried and tested place for great Vegetarian food. Had an opportunity to drop in last week and did not miss it..did not miss the Buttermilk or the Special Thali with the Special Chapatis. Had Baingan ka Bharta which is always one of the best one could taste. The Dal Tadka Khichdi is also awesome.,5 stars,expensive,Vegetarian restaurant
Nidhi Shetty,"Bhagat Tarachand may not be fancy but the food here speaks for itself. The meal here is clearly prepared with heart.
We had ordered a special thali along with moong dal halwa and rabdi to our …",5 stars,expensive,Vegetarian restaurant
Pooja Tiwari,The food quality and taste was worst. No hygiene was maintained. The old name of Bhagat tarachand food is now no more. Please don’t get confused by any recommendation for this place. This is worst now.,1 star,expensive,Vegetarian restaurant
Ravi Negi,Just one word it’s overhyped and over proced. A normal thali and a special thali and one bottle of buttermilk costed 1000 rs. Sabji was too hot that it burned my mouth probably due to microwave. Staff wasn’t much polite either but ok ok. …,2 stars,expensive,Vegetarian restaurant
S Kristen,Food and service were great. But the atmosphere was so smoky. May be bcoz they burn incense sticks in a closed AC room.,2 stars,expensive,Vegetarian restaurant
Ashley Fernandes,"After all these years Bhagat Tarachand still never disappoints. Food was superb and the phulka chapatis are as soft as ever.
Best option for a delicious vegetarian meal with friends and family.",5 stars,expensive,Vegetarian restaurant
Tukaram Palladwad,Dis restaurant servers one of d best quality food you can get . All items served were super tasty and delicious. Service is super quick too,5 stars,expensive,Vegetarian restaurant
