Reviewer,Review,Rating,Expense,Type
Sonal Wadekar,"Overall experience was okay
Ambiance and service were satisfactory.
Food taste has potential for improvement. …",4 stars,expensive,Restaurant
Samah Rumani,"It is one of the best restaurant I have been..to..U must visit it.. I was totally in love with everything from mac and cheese pasta, Mocktails...chocolate bathtub...🥰to pizza which is must try. 🍕.. The drinks is also ✌🏻too good …",4 stars,expensive,Restaurant
Urvi Kulkarni,"Let's get straight to the Food😌

In veg I have tried- …",5 stars,expensive,Restaurant
Tejas Nemade,The atmosphere was great as everytime....food was also upto the mark...the service was a bit slow as only one guy was handling 4 tables I guess...not his mistake......overall a good experience.,4 stars,expensive,Restaurant
Swetha Shivakumar,"This place is right inside inorbit mall vashi. Giving the food for 4. This is a go to place for casual hangouts. The ambience is beautiful. Service is very nice, the staff is fast and polite. …",5 stars,expensive,Restaurant
Tushar Gaware,"I recently had the pleasure of dining at Vashi Social and I must say, I was thoroughly impressed with my experience. The restaurant offers a diverse menu that caters to both Indian traditional cuisine as well as continental food, making it …",5 stars,expensive,Restaurant
Sourish Karmakar,Food was good. Service was pathetic. Who serves cold drink hot? You don’t see any attendants and those who were there were dancing for god knows what reason. You have to literally ask the bartender to get any order. And more pathetic is …,1 star,expensive,Restaurant
Prasad Deorukhakar,"""Fantastic experience at Social, Vashi! Delicious food, great ambiance, and excellent service. A must-visit spot!""",5 stars,expensive,Restaurant
Nikhil Pakale,Overall a nice place to Hangout. Good ambience. Ample of seating space. The music is loud in the evenings but afternoons are ok. The service is good and about average speed. The food taste is good. They do have various offers on Liquor.,4 stars,expensive,Restaurant
Abbas Dhinojwala,"Vashi SOCIAL just made my first anniversary very special! I had called up in advance for arrangements and booking a table, Guru was the person who helped me out with everything. The team went out of their way to make us feel very special …",5 stars,expensive,Restaurant
Rahul Gupta,"The food at this place is just awesome. The atmosphere is chilly with loud music and drinks all around.
The ordering process is smooth, you scan and order food from your phone and pay at the end from your phone.",5 stars,expensive,Restaurant
Muskan Sanadi,"Perfect place to hangout with friends, Beautiful ambiance. Food taste 4/5",5 stars,expensive,Restaurant
raksha Devadiga,Social has always been a favorite hangout. Food here is amazing. Visited Vashi Social for the 1st time. Food was lip-smackingly delicious and the music just gives you the right vibe. Only the Grilled chicken in sizzler was not at all tender. Southall Fish and Chips rocked as always.,4 stars,expensive,Restaurant
Varsha Bagadia,"Social is one of my favourite places to hang out with friends. The only thing is that it can get crowded so booking a table in advance is a good idea. Thankfully, we went in the afternoon this time and it was relatively relaxed. …",5 stars,expensive,Restaurant
Shreyashi Mukhopadhay,Went here for a dinner. We sat outside. The stand fan they are using did not make the sitting comfortable. Was feeling hot. May be next time we won't be sitting outside during Summers. But other than that food was really good. Staff seemed little overloaded so they could not explain the dishes to us. So we did not explore much.,4 stars,expensive,Restaurant
Rajan Vasudevan,"Enjoyable Tuesday evening with great start of service, seating and food choices.. Ended with loud music forcing us to leave.. ample food choices and promos. We ordered a bottle of black label, johnny ginger. Appetizers included the wings …",4 stars,expensive,Restaurant
priyanka gahoi,"I personally feel the place is good for alcohol beverages and Italian food. The wine, LIT and pizzas served was awesome. Chilli paneer, spicy Gauva and Virgin Mojito was good but tandoori momos disappointed me. …",4 stars,expensive,Restaurant
Anuksha Anil Dutta,The food was very tasty. We had the killer platter and chicken stuffed bread. Ambience and service was also good.,5 stars,expensive,Restaurant
Deepti Raut,Loved the food and ambience. Chef made sure all d dishes are made as per our liking and had amazing taste. Service is quick and staff well trained. Good selection of drinks. Overall it’s worth visit with friends on weekends for fun time !,5 stars,expensive,Restaurant
Preets Ghai,We stopped here for lunch. To me it’s overrated. Drinks are average. Menu is complicated in an effort to make it different. Food was way below average. We ordered a couple of appetizers and butter chicken biryani. Didn’t like it one bit. …,2 stars,expensive,Restaurant
Abhijeet Salunke,The place is lit for youngsters. They have live music on many occasion. The ambience is great and staff is helpful. They have a digital QR coded menu using which you can order without the need of waiting for a staff. The food here is good …,4 stars,expensive,Restaurant
Natalie Pote,Such a great place to hang out. The food is good too and the service is excellent. Liked it so much we went two days in a row. There’s indoor and outdoor seating. Can get crowded on a weekend. Ask the waiter for recommendations. Good music too.,5 stars,expensive,Restaurant
Oindrila De,"Social is known for great food & service. However, this location isn't at par with the standards set by Socials all over Mumbai. Food was average. Sweet corn chicken soup was poorly prepared. Tasted too sweet & had way too much corn starch. …",2 stars,expensive,Restaurant
Simran Aulakh,"Really liked whatever we tried.
The food was fresh.
The place is full almost anytime of the day! …",4 stars,expensive,Restaurant
Pooja Ratambe,"Food was Lowkey and tht i was not expecting frm such a place, overall the ambiance covered for the lowkey food, Fabulous ambiance and the music aswell, cocktails were Smakingly Delicious. Hope this helps ❤️",4 stars,expensive,Restaurant
Jane Gabrielle,"Always wanted to visit Social. Had a wonderful experience. Nice ambience, great food.Service provided by the staff is also good. Also got a complimentary dessert.Overall, had a good time being here. …",5 stars,expensive,Restaurant
Adil Haq,Great ambiance good place to chill and hangout with your peers. Service is a little slow rest is fine.,4 stars,expensive,Restaurant
Sanket Kamble,"One of the best places near Vashi Railway Station.
The ambiance is amazing with great customer service.
Variety of drinks available. …",5 stars,expensive,Restaurant
Kevin Doraiswamy,"Good vibe, good music, great food options
They also have outdoor seating but they only serve there after 6pm:( …",4 stars,expensive,Restaurant
santosh kore,I had nachos it was good and butter chicken biryani was so tasty. A must try place to hangout with friends ₹800 for 2 person avg with no alcohol,4 stars,expensive,Restaurant
