Reviewer,Review,Rating,Recommended dishes
Jason Eng,"I’m enamored by this place. The service and ambiance is on point. I come here to sit at the bar, have a cocktail and a snack.

The last time I came, I thoroughly enjoyed the La Vie En Rose cocktail (so good it’s dangerous for your “vie”) and the Boucherie Crème Brûlée - a classic French dessert with a twist of black sesame - so good!! Special mention to the bread service too!

I also ordered the escargot (a standard for any French bistro), however I found it only fine… not enough garlic or herbs for my liking I suppose.

Recommended.",4.0,
Monique & Christopher,"Absolutely amazing! From the ambiance, to the food, to the service, it was such a pleasure to dine here. Our server Adrianne was so well versed on the menu and had incredible recommendations. We will for sure be back and asking for her if possible!",5.0,Creme Brulee
Olga S,If your going during the Christmas season it's incredibly decorated. It's a great place for a get together with friends or a client. The food is delicious and no matter you select everything if a good choice. Just note that the dishes and drinks are a little expensive in relation to other restaurants.,4.0,"Creme Brulee, Duck Confit"
Son Wukong,"Honestly, one of the best steaks I have had in New York City. The restaurant is really beautiful. Service was very good, our server Efe was attentive, patient, and helpful. I look forward to coming again and telling my friends about Boucherie. The fries are so crunchy and to die for 😋",5.0,Steak Frites Au Poivre
lety yan,"Had a very lovely experience here.
The food was delicious with a great portion sizes. The service was also top tier, Gaudi was Very attentive and hospitable. I also appreciate that the manager/ owner? was walking around making sure that everyone was satisfied and he even gave us complimentary coffee, so thank YOU! I will definitely be coming back! Highly recommend
Oh and the restaurant is beautiful! Perfect for a date night!",5.0,
Pamela Darko,"The food was good, service at the bar superb. The hostess at the front not welcoming smile with a few eye rolls was so charming. I might strong on the “might” be back again due to the service at the bar alone. The brunch menu had more American food than french food thought that was odd. I’m in Paris/Versailles  often and I wanted something to remind me of there. The Brunch menu needs more authentic french options. I had the Champaign and Wagyu burger. Worth a try but not my first option for French food.",4.0,Wagyu Burger
Francine Laderas (triptofranz),"Went here to celebrate my friend’s 26th birthday with a group of friends. Food was great! I had mussels which were amazing and had some oysters as well.
Our server, Ibrahim is literally the greatest and most hospitable server ever, he’s also so funny and made sure we were all happy and satisfied with each of our orders!!

We had so much fun and we will definitely come back soon!",5.0,"Profiteroles, Love"
Krystian Tomaszewski,Great place amazing atmosphere. We had beef tartare and a burger. Oysters to start. Would recommend!,5.0,
Erdem Kent,"I'd give 10 stars if possible. Haven't had such good french cuisine for a long time!   From starters to desserts, everything tasted wonderful! Definitely try the creme brulee!  Authentic tastes from France with the best service! Ibrahim is an amazing host! And super kids friendly too!

Kid-friendliness: Ultra kids friendly staff!",5.0,"Profiteroles, Steak Frites Au Poivre"
Mona Kaneko,"The food, the atmosphere, the service were all excellent.
Ibrahim’s service was on top notch, he made our day!!
I’ll definitely come back again",5.0,Small Steak Tartare
adia,5/5 or more!! I’ve never had french food before and im glad I went here for my first time. I celebrated my bday here and I have no regrets!! They treated me & my friends really special and made my bday so memorable. They gave us so many freebies and our server Ibrahim was so nice and attentive. Greatest server in manhattan fr! Even the hosts and stuff were really nice. Thank you Boucherie union square. Definitely coming back 💋,5.0,
Suzanne Corey,"This was a beautiful restaurant and the service was excellent! It was welcoming and friendly and the people made it a great experience for our family. They even brought us extra pommes frites for our little guy— so kind! The food is very good I think depending on what you order. Some items (the ribeye) aren’t quite worth being a $60 steak but I’d eat there again. The pommes frites were so good and the scallop dish was excellent!! I definitely recommend it!

Kid-friendliness: Very comfortable having young kids in this restaurant— (7 yo) They were welcoming!",5.0,"Boeuf Bourguignon, Pommes Frites, Escargots De Bourgogne"
Charlotte Miller,"Nice spot for brunch and if you're in the mood for French cuisine! My party of 6 waited about 10 minutes on a Thursday morning without a reservation, which is not bad considering how many other parties I saw waiting as well. All their items were delicious and filling, even if it may not look to big upon serving. I also got a hot cafe meal which is basically a latte with honey and cinnamon - would recommend this if you're looking for a twist on a traditional latte.",5.0,
Yuliia Zinchenko,"Delicious food, one of the best in NYC Manhattan, welcoming stuff and great service. Delightful, energetic and romantic atmosphere. Definitely recommend :)",5.0,
Marina Prutskova,"Every time I’m in NYC I have to stop by for the Onion Soup. It’s exquisite. The restaurant is so gorgeous, you feel like you are in Paris. The service is always top notch. When you visit, ask for Ali to serve you. You’ll have an amazing experience.",5.0,"Eggs Benedict, Escargots De Bourgogne, Duck Confit"
Olga Benko,"La Boucherie never disappoints! It’s my  go to for great food, service and atmosphere. Special thank you to Adrianne for her genuine hospitality and attention !!! Looking forward to dining there soon !",5.0,
Yana,"I recently visited this restaurant with a friend and had a mixed experience. On the positive side, the bread with spread butter was delicious, and the lager was really great. The atmosphere and servers were also very nice.

However, I was disappointed with the orange duck I ordered. The meat was tough and chewy, and I couldn't even finish one piece of duck. The restaurant was kind enough to take it back to the kitchen, but I was already too discouraged to order another main course. Instead, we opted for the crème brûlée for dessert, which was absolutely delicious.

Overall, while the service and ambiance were pleasant, my experience with the main course was not great. My friend tried to introduce me to French cuisine, but unfortunately, this particular restaurant did not leave a lasting impression.",3.0,
Sarah77 Yue,"Bonjour my fellow epicureans! Imagine strolling through the streets of Paris, then stepping into a charming bistro - that’s the experience at BOUCHERIE Union Square. With a menu that sings of French authenticity and a vibe that’s all about celebrating life, this spot near Union Square Manhattan is a must-visit. From their exquisite wine selection to the delectable cuisine, every detail at BOUCHERIE whispers Paris. Don’t just eat; savor a moment of pure “joie de vivre”, Bon appétit!",5.0,
Rion Willard,"Authentic Parisian vibes, lovely gypsy jazz in the background, the interiors are stylish and we were given a lovely booth next to a charming piano - we really appreciated that as so many places are so noisy and this gave us privacy we enjoyed. Ibrahim our server was a true gentleman and our made dining experience fantastic. The food was fantastic, I enjoyed a wagyu burger and my wife had a juicy salad. Perfect evening! Will come again ! Thank you Ibrahim and the team at Boucherie.",5.0,Wagyu Burger
Artemis Phạm,"This is a perfect dinner, night to me. The atmosphere is so warm. I have a best service from IBRAHIM and EFE. Thank you so much!",5.0,
