"rest_id","rest_name","rest_budget","rest_rating","rest_rev_count","address","main_category","categories","rest_location","feature_opinions"
"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","Maharashtra Lunch Home  Nerul",1,"4.2",5167,"Maharashtra Lunch Home  Nerul Shop No 2 Paradise Apartment Opp SIES college Sector 3  Nerul East Navi Mumbai Maharashtra 400706","Maharashtrian Restaurant","{""Maharashtrian Restaurant"",""Indian restaurant"",""Konkani restaurant"",""Seafood restaurant""}","nerul","{""waiters - polite"",""fishes - delicious"",""fish - fry""}"
"ChIJldo1y9zD5zsRSa6WQE6mB8I","Grace Restaurant",1,"4.0",3062,"Grace Restaurant Shop No 13 F2 Type Building opp Bank Of Maharastra Sector 3 Nerul Navi Mumbai Maharashtra 400706","Kerala restaurant","{""Kerala restaurant"",""Chinese restaurant"",""Indian restaurant"",Restaurant,""South Indian restaurant""}","nerul","{""head - proper"",""quality - Quick"",""quantity - good""}"
"ChIJO6VODr36DDkRijNQzuwyvRE","Dosa Plaza  Nerul  ACNON AC",1,"4.1",1935,"Dosa Plaza  Nerul  ACNON AC F1 Shop No  13 Paradise Apartment College Road opp SIES College Sector 3 Nerul Navi Mumbai Maharashtra 400705","South Indian restaurant","{""South Indian restaurant"",""Breakfast restaurant"",""Chinese restaurant"",""Fast food restaurant"",""Vegetarian restaurant""}","nerul","{""place - opposite"",""taste - good"",""quality - good""}"
"ChIJ915PderD5zsRTqBPBylUmdM","New Welcome Family Restaurant Best Restaurant in NERUL",1,"4.1",1704,"Shop No56 New Welcome Family Restaurant Best Restaurant in NERUL Kisan Waghya Chandrai Arcade Plot No1224 Shivajirao Annasaheb Patil Marg opp Nerul Nerul East Sector 20 Nerul Rly Stn Navi Mumbai Maharashtra 400706","Family restaurant","{""Family restaurant"",Restaurant}","nerul","{""food - great"",""family - new"",""food - good""}"
"ChIJa4ujijjD5zsR32K8MNXPoUc","Rasoi Restaurant  Bar",1,"4.3",877,"Rasoi Restaurant  Bar RT2 Neighborhood Shopping Complex Sector 4 behind SBI Bank Nerul Maharashtra 400706","Bar  grill","{""Bar  grill""}","nerul","{""food - good"",""rate - Amazing"",""place - worth""}"
"ChIJJdcemNzD5zsRCNWzQGbD4qo","The J",1,"4.0",578,"The J Sector 3 Nerul Navi Mumbai Maharashtra 400706","Fast food restaurant","{""Fast food restaurant"",""Breakfast restaurant""}","nerul","{""options - available"",""fries - friendly"",""burgers - available""}"
"ChIJR64GZ2bD5zsRUbE2eXKqM1M","The Stone Age Cafe",2,"4.6",247,"Shop 5 The Stone Age Cafe Ashirwad Apts Nerul East Sector 3 Nerul Navi Mumbai Maharashtra 400706","Restaurant","{Restaurant}","nerul","{""food - tasty"",""food - delicious"",""loads - brown""}"
"ChIJfxz51y3D5zsRzXrseUkHc50","SHRI BALAJI FAMILY VEG RESTAURANT",2,"4.3",14,"SHRI BALAJI FAMILY VEG RESTAURANT F1 TYPE SHOP NO 14 PARADISE APT opp SIES COLLEGE Sector 3 Nerul Navi Mumbai Maharashtra 400706","Family restaurant","{""Family restaurant""}","nerul","{""meal - delicious"",""prices - reasonable"",""service - poor""}"
"ChIJrUQEZuXD5zsR6kyILNJZ98I","Swad Wazwani Indian  Chinese Restaurant",2,"5.0",5,"Swad Wazwani Indian  Chinese Restaurant Shop no 1  Plot no 581 Sector  1 Nerul East Shiravane Navi Mumbai Maharashtra 400706","Chinese noodle restaurant","{""Chinese noodle restaurant""}","nerul","{""service - good""}"
"ChIJFWDQpNzD5zsRnLiKyMzHhlc","Rangoli Family Restaurant  Bar",1,"4.0",3612,"22VC4M9 Rangoli Family Restaurant  Bar Station Road Nerul East Sector 3 Nerul Navi Mumbai Maharashtra 400706","Indian restaurant","{""Indian restaurant""}","nerul","{""bar - best"",""bar - Second"",""floor - Second""}"
"ChIJ68uzxLvD5zsRAfqHzorjPdU","Horizon Veg and NonVeg Family Restaurant",1,"4.1",2197,"shop no 1 Horizon Veg and NonVeg Family Restaurant Ganpati Complex 105 opposite backside of wonder park Nerul East Sector 27 Garden Navi Mumbai Maharashtra 400706","Family restaurant","{""Family restaurant"",""Indian restaurant"",""Middle Eastern restaurant"",""Non Vegetarian Restaurant"",""North Indian restaurant""}","nerul","{""quantity - low"",""service - authentic"",""service - Arabic""}"
"ChIJM3Jyl9zD5zsRGkK2KUPo0eI","Prithvish Restobar",2,"4.3",1224,"Prithvish Restobar Nerul East Sector 3 Nerul Navi Mumbai Maharashtra 400706","North Indian restaurant","{""North Indian restaurant"",Bar,""Fast food restaurant"",Restaurant}","nerul","{""food - good"",""place - good"",""place - full""}"
