"rev_id","rest_id","rev_rating","review_text","is_local_guide","reliability_score","sentiment_score"
1,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","4.0","Good place to enjoy seafood thalis at a decent price Their fishes are delicious and cooked well  Thali comprises of rice chapati fish fry fish gravy and solkadi along with a prawn chutneypickle No vegetables or sweets  This place can get super busy so get ready to wait for a bit They have appetizers and individual items to order as well but its known for it thalis Do give this place a try  I wish their thalis had some sweet and veggies as well",True,577,"1"
2,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","4.0","Service was superb very welcoming staff and all attentive We tried seafood thalis and taste was decent They are running tight on space so seating is bit congested for healthy people",True,270,"1"
3,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","4.0","If you love malvani food then you must visit this place Lip smacking food with average ambiance Plenty of seating available Restaurant start after 1200 pm  Must visit place  Food",True,38,"1"
4,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","If you like delicious Maharashtrian cuisine then you shouldnt miss this place Malvani dishes are superb   Also specially for nonvegetarian foodie this place is must visit Authentic Maharashtrian nonvegetarian dishes are mouth watering   Ambience is simple and good Service is also good and waiters are polite I would definitely like to come here again Surely I will recommend this place",True,200,"1"
5,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","Its a fantastic place with delicious Maharashtrian cuisine The flavors were authentic service was great and the ambience was welcoming Ill definitely be returning for more tasty meals",True,19,"1"
6,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","3.0","Okayish untill urged to leave the table to make other customers seat And it is not supposed to happen because is non a fast food Moreover overpriced dishes not always justify quality Not all food are maharashtrian chinese punjabi",True,70,"-1"
7,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","Just loved the food We ordered Bombil fry thali and Prawns masala Food is delicious They offer nice service too But this place is usually crowded on weekends There was a waiting of almost 30 minutes when we went there But it was worth the wait as their tasty food did not dissappoint us",True,115,"1"
8,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","4.0","Dining experience was awesome the taste was very good sizes of Fish and Prawns are very good and got a large fishmust recommend Paya Soup",True,330,"1"
9,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","5.0","I recently dined at Maharashtra Lunch Home and it was an outstanding culinary experience The freshness and quality of the seafood were unparalleled leaving a lasting impression on my taste buds The menu offered a diverse selection showcasing the restaurants commitment to providing a variety of delicious options From perfectly grilled fish to mouthwatering crab dishes each bite was a testament to the chefs skill and dedication to excellence The ambiance was delightful creating a perfect setting for a seafood feast The staff was attentive and knowledgeable offering excellent recommendations and ensuring a memorable dining experience If youre a seafood enthusiast or simply appreciate exceptional cuisine I highly recommend Maharashtra Lunch Home Its a seafood haven that consistently delivers on flavor quality and overall dining satisfaction",True,31,"1"
10,"ChIJ5_PPvNzD5zsRnOeLLAijIMQ","2.0","This is worst franchisee of Maharashtra Lunch Home Standard Kolhapuri Chicken Thali doesn t have the Tambda  Pandhara rassa thecha and Kheema Also they don t give indrayani rice If you have been to other franchisees of MLH you need to better avoid this especially for Thali dishes as you will be utterly disappointed Forgettable experience Not visiting again They need to do business as some other lunch home but not the MLH",True,23,"-1"
